timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1761307869362,298,HTTP Request Medium Big,200,OK,Thread Group 1 1-1,text,true,,5243203,133,1,1,http://192.168.48.128/medium_big.txt,105,0,25
1761307869672,194,HTTP Request Medium Big,200,OK,Thread Group 1 1-1,text,true,,5243203,133,2,2,http://192.168.48.128/medium_big.txt,15,0,11
1761307869867,35,HTTP Request Smallest,200,OK,Thread Group 1 1-1,text,true,,10552,131,2,2,http://192.168.48.128/smallest.txt,35,0,1
1761307869821,105,HTTP Request Small,200,OK,Thread Group 1 1-2,text,true,,1048907,128,2,2,http://192.168.48.128/small.txt,43,0,5
1761307869903,147,HTTP Request Medium Small,200,OK,Thread Group 1 1-1,text,true,,2097500,135,2,2,http://192.168.48.128/medium_small.txt,50,0,22
1761307869927,149,HTTP Request Medium Small,200,OK,Thread Group 1 1-2,text,true,,2097500,135,2,2,http://192.168.48.128/medium_small.txt,30,0,3
1761307870077,27,HTTP Request Smallest,200,OK,Thread Group 1 1-2,text,true,,10552,131,2,2,http://192.168.48.128/smallest.txt,27,0,7
1761307870105,46,HTTP Request Small,200,OK,Thread Group 1 1-2,text,true,,1048907,128,2,2,http://192.168.48.128/small.txt,26,0,7
1761307870152,43,HTTP Request Small,200,OK,Thread Group 1 1-2,text,true,,1048907,128,2,2,http://192.168.48.128/small.txt,10,0,4
1761307870196,23,HTTP Request Smallest,200,OK,Thread Group 1 1-2,text,true,,10552,131,2,2,http://192.168.48.128/smallest.txt,23,0,2
1761307870051,469,HTTP Request Biggest,200,OK,Thread Group 1 1-1,text,true,,12686077,130,3,3,http://192.168.48.128/biggest.txt,10,0,4
1761307870223,352,HTTP Request Medium Big,200,OK,Thread Group 1 1-2,text,true,,5243203,133,3,3,http://192.168.48.128/medium_big.txt,48,0,29
1761307870521,206,HTTP Request Medium Big,200,OK,Thread Group 1 1-1,text,true,,5243203,133,3,3,http://192.168.48.128/medium_big.txt,51,0,16
1761307870424,399,HTTP Request Biggest,200,OK,Thread Group 1 1-3,text,true,,12686077,130,3,3,http://192.168.48.128/biggest.txt,70,0,33
