timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763507440881,250,Request 3 Mid_High 5,200,OK,Thread Group Low Intensity 1-1,text,true,,3481916,134,1,1,http://192.168.184.134/mid_high_5.txt,137,0,99
1763507441145,90,Request 2 Mid_Low 1,200,OK,Thread Group Low Intensity 1-1,text,true,,2097467,133,1,1,http://192.168.184.134/mid_low_1.txt,4,0,0
1763507441408,107,Request 2 Mid_Low 1,200,OK,Thread Group Low Intensity 1-2,text,true,,2097468,133,2,2,http://192.168.184.134/mid_low_1.txt,7,0,2
1763507441454,113,Request 2 Mid_Low 1,200,OK,Thread Group Low Intensity 1-1,text,true,,2097467,133,2,2,http://192.168.184.134/mid_low_1.txt,15,0,0
1763507442231,72,Request 2 Mid_Low 1,200,OK,Thread Group Low Intensity 1-2,text,true,,2097467,133,2,2,http://192.168.184.134/mid_low_1.txt,3,0,0
1763507442408,74,Request 2 Mid_Low 1,200,OK,Thread Group Low Intensity 1-3,text,true,,2097468,133,3,3,http://192.168.184.134/mid_low_1.txt,6,0,2
1763507442630,150,Request 4 High 1,200,OK,Thread Group Low Intensity 1-1,text,true,,4710715,130,3,3,http://192.168.184.134/high_1.txt,3,0,0
1763507443072,67,Request 2 Mid_Low 1,200,OK,Thread Group Low Intensity 1-2,text,true,,2097467,133,3,3,http://192.168.184.134/mid_low_1.txt,3,0,0
1763507443407,71,Request 2 Mid_Low 1,200,OK,Thread Group Low Intensity 1-4,text,true,,2097468,133,4,4,http://192.168.184.134/mid_low_1.txt,6,0,2
1763507443868,61,Request 2 Mid_Low 1,200,OK,Thread Group Low Intensity 1-3,text,true,,2097467,133,4,4,http://192.168.184.134/mid_low_1.txt,3,0,0
1763507444194,24,Request 1 Low 3,200,OK,Thread Group Low Intensity 1-1,text,true,,717113,129,4,4,http://192.168.184.134/low_3.txt,3,0,0
1763507444405,31,Request 1 Low 3,200,OK,Thread Group Low Intensity 1-5,text,true,,717114,129,5,5,http://192.168.184.134/low_3.txt,6,0,3
1763507444676,120,Request 3 Mid_High 5,200,OK,Thread Group Low Intensity 1-2,text,true,,3481915,134,5,5,http://192.168.184.134/mid_high_5.txt,4,0,0
1763507445394,139,Request 3 Mid_High 5,200,OK,Thread Group Low Intensity 1-6,text,true,,3481916,134,6,6,http://192.168.184.134/mid_high_5.txt,5,0,2
