procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   5936 265900  13744 459812    0    0    59    56  327    1  1 17 82  0  0  0
 0  0   5936 265900  13744 459816    0    0     0     4   45   62  0  0 100  0  0  0
 0  0   5936 265900  13744 459816    0    0     0     0   38   68  0  0 100  0  0  0
 0  0   5936 265900  13744 459816    0    0     0     0   38   64  0  0 100  0  0  0
 0  0   5936 265900  13744 459816    0    0     0     0   41   68  0  1 99  0  0  0
 0  0   5936 265900  13744 459816    0    0     0     0   38   68  0  0 100  0  0  0
 0  0   5936 265900  13752 459816    0    0     0    48   45   72  0  0 100  0  0  0
 0  0   5936 265900  13752 459816    0    0     0     0   37   64  0  0 100  0  0  0
 0  0   5936 265900  13752 459816    0    0     0    32   62   89  0  0 100  0  0  0
 0  0   5936 265900  13752 459816    0    0     0     0   41   60  0  0 100  0  0  0
 0  0   5936 265900  13752 459816    0    0     0     0   46   73  0  1 99  0  0  0
 0  0   5936 265900  13752 459816    0    0     0     0   38   64  0  0 100  0  0  0
 0  0   5936 265900  13760 459816    0    0     0    24   53   73  0  0 100  0  0  0
 0  0   5936 265900  13760 459816    0    0     0     0   44   76  0  1 99  0  0  0
 2  0   5936 266980  13760 459816    0    0     0     0  275   99  1 14 85  0  0  0
 1  0   5936 266984  13760 459816    0    0     0     0  295  125  0 15 85  0  0  0
 1  0   5936 266980  13760 459816    0    0     0     0  399  119  0 21 79  0  0  0
 1  0   5936 266500  13760 459816    0    0     0     0  277  111  0 12 88  0  0  0
 2  0   5936 266460  13768 459816    0    0     0    20  285  119  1 13 86  0  0  0
 2  0   5936 266516  13768 459816    0    0     0     4  623  154  0 37 63  0  0  0
 3  0   5936 265876  13768 459820    0    0     0     0  278  119  0 13 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   5936 266936  13768 459820    0    0     0     0  318   95  0 16 84  0  0  0
 1  0   5936 266712  13768 459820    0    0     0     0  597  118  0 34 66  0  0  0
 1  0   5936 267408  13776 459820    0    0     0    16  239  120  0  9 91  0  0  0
 4  0   5936 266448  13776 459820    0    0     0     4  312  104  0 16 84  0  0  0
 2  0   5936 265992  13776 459820    0    0     0     8  380  135  0 21 79  0  0  0
 5  0   5936 265528  13776 459820    0    0     0     0  316  132  1 15 84  0  0  0
 1  0   5936 266928  13784 459812    0    0     0    32  382  120  0 21 79  0  0  0
 1  0   5936 266632  13784 459820    0    0     0     0  263  147  0 11 89  0  0  0
 1  0   5936 267032  13784 459820    0    0     0     0  511  140  3 35 62  0  0  0
 2  0   5936 266296  13784 459820    0    0     0     4  337  143  0 15 85  0  0  0
 1  0   5936 266492  13784 459820    0    0     0     4  330  140  0 16 84  0  0  0
 1  0   5936 266304  13784 459824    0    0     0     0  302  145  1 14 85  0  0  0
 0  0   5936 267020  13792 459824    0    0     0    16  249  117  0 13 87  0  0  0
 5  0   5936 266792  13792 459824    0    0     0   336  458  146  0 23 77  0  0  0
 0  0   5936 267020  13792 459824    0    0     0     0  287  105  0 14 86  0  0  0
 1  0   5936 267016  13792 459824    0    0     0    12  314  143  0 13 87  0  0  0
 1  0   5936 267016  13792 459824    0    0     0     0  197  115  1  8 91  0  0  0
 0  0   5936 266916  13800 459824    0    0     0    32  252  128  0 11 89  0  0  0
 0  0   5936 266916  13800 459824    0    0     0     0  525  152  0 30 70  0  0  0
 1  0   5936 266532  13800 459824    0    0     0     0  479  138  0 25 75  0  0  0
 0  0   5936 266532  13800 459824    0    0     0     4  345  146  0 16 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0   5936 266276  13800 459824    0    0     0     4  464  142  0 24 76  0  0  0
 1  0   5936 266908  13808 459828    0    0     0    16  418  140  0 22 78  0  0  0
 1  0   5936 266524  13808 459828    0    0     0    24  263  158  0  9 91  0  0  0
 1  0   5936 266268  13808 459828    0    0     0     0  196  110  0  8 92  0  0  0
 2  0   5936 267184  13808 459832    0    0     0     0  389  139  0 19 81  0  0  0
 1  0   5936 266988  13808 459832    0    0     0     8  431  141  0 21 79  0  0  0
 2  0   5936 266284  13816 459832    0    0     0    36  427  186  1 20 79  0  0  0
 1  0   5936 266980  13816 459832    0    0     0     0  341  145  0 15 85  0  0  0
 2  0   5936 266508  13816 459832    0    0     0     0  366  147  0 17 83  0  0  0
 1  0   5936 266984  13816 459832    0    0     0     0  366  124  0 18 82  0  0  0
 1  0   5936 266284  13816 459832    0    0     0     0  342  138  1 15 84  0  0  0
 0  0   5936 266972  13824 459832    0    0     0    28  403  132  0 19 81  0  0  0
 1  0   5936 265824  13824 459832    0    0     0     4  433  151  0 22 78  0  0  0
 0  0   5936 266884  13824 459832    0    0     0     0  377  143  0 20 80  0  0  0
 0  0   5936 266976  13824 459832    0    0     0     0  397  153  0 18 82  0  0  0
 0  0   5936 266188  13824 459832    0    0     0     0  249  124  0 10 90  0  0  0
 0  0   5936 266964  13832 459836    0    0     0    36  269  158  0 10 90  0  0  0
 0  0   5936 266872  13832 459836    0    0     0     0  348  126  0 17 83  0  0  0
 0  0   5936 266964  13832 459836    0    0     0     4  402  152  0 19 81  0  0  0
 0  0   5936 266960  13832 459836    0    0     0     0  297  133  0 14 86  0  0  0
 1  0   5936 266040  13832 459836    0    0     0     0  337  128  1 15 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   5936 266488  13832 459836    0    0     0     4  352  143  0 19 81  0  0  0
 0  0   5936 266236  13840 459836    0    0     0    16  202  142  0  6 94  0  0  0
 0  0   5936 266864  13840 459836    0    0     0     0  300  126  0 14 86  0  0  0
 1  0   5936 266736  13840 459836    0    0     0     4  355  137  0 16 84  0  0  0
 0  0   5936 266956  13840 459836    0    0     0     0  272  126  0 13 87  0  0  0
 0  0   5936 266416  13840 459836    0    0     0     4  305  154  0 13 87  0  0  0
 0  0   5936 266164  13848 459840    0    0     0    16  247  129  1  9 90  0  0  0
 1  0   5936 266692  13848 459840    0    0     0     0  374  136  0 18 82  0  0  0
 0  0   5936 266852  13848 459840    0    0     0     0  312  129  0 14 86  0  0  0
