label;Thread_Group_Number;Avg_Elapsed;bytes;sentBytes;Latency;CTT
Request 1 Low 3;1;2,83632E+16;7,17114E+15;1290;4,69932E+15;150
Request 2 Mid_Low 1;1;7,05295E+15;2,09747E+15;1330;4,80382E+15;150
Request 3 Mid_High 5;1;1,10258E+16;3,48192E+14;1340;5,17127E+15;150
Request 4 High 1;1;1,52011E+16;4,71072E+15;1300;5,25232E+15;150
Request 1 Low 3;2;2,45708E+15;7,17113E+15;1290;2,44905E+15;300
Request 2 Mid_Low 1;2;6,47246E+15;2,09747E+15;1330;2,41095E+15;300
Request 3 Mid_High 5;2;10511875;348191505;1340;2,39464E+16;300
Request 4 High 1;2;1,46153E+16;4,71072E+15;1300;2,46483E+15;300
Request 1 Low 3;3;2,99137E+16;7,17113E+15;1290;2,97026E+15;450
Request 2 Mid_Low 1;3;8,45592E+15;2,09747E+15;1330;3,00592E+15;450
Request 3 Mid_High 5;3;1,40098E+15;3,48192E+16;1340;3,04967E+16;450
Request 4 High 1;3;1,93983E+16;4,71072E+15;1300;3,03936E+15;450
