Numero di cluster	Distanza	Leader	Subordinato
7212	0,00759863	2547	2692
7211	0,00811926	2394	2473
7210	0,00830897	2427	2465
7209	0,00937877	5792	5978
7208	0,00950652	2175	2353
7207	0,00975383	2400	2441
7206	0,00986673	2413	2451
7205	0,01013574	2133	2212
7204	0,01034115	2150	2151
7203	0,01038935	5497	5498
7202	0,01063527	601	602
7201	0,01069547	2432	2610
7200	0,01079516	2131	2210
7199	0,01086812	2170	2572
7198	0,01098720	2372	2414
7197	0,01126103	2417	2454
7196	0,01134971	2384	2425
7195	0,01183585	2119	2673
7194	0,01187762	2352	2392
7193	0,01215057	2143	2251
7192	0,01220983	6018	6019
7191	0,01247569	3751	3752
7190	0,01250374	2431	2609
7189	0,01263574	2331	2332
7188	0,01269082	2390	2469
7187	0,01275687	2348	2388
7186	0,01284888	2179	2397
7185	0,01309679	551	552
7184	0,01321192	2471	2612
7183	0,01323239	2443	2481
7182	0,01326423	4161	4162
7181	0,01326517	3876	3877
7180	0,01330376	2133	2134
7179	0,01330803	2395	2475
7178	0,01336323	5792	5979
7177	0,01357778	585	586
7176	0,01361802	4378	4379
7175	0,01366971	702	703
7174	0,01378302	1824	1825
7173	0,01379884	2083	2084
7172	0,01384052	1839	1840
7171	0,01385160	5679	5680
7170	0,01389254	711	712
7169	0,01402759	2330	2705
7168	0,01404521	5922	5923
7167	0,01404544	3998	3999
7166	0,01406654	2139	2140
7165	0,01424995	874	875
7164	0,01428163	5941	5982
7163	0,01430163	2384	2463
7162	0,01430876	3771	3772
7161	0,01436410	571	572
7160	0,01437011	772	773
7159	0,01439006	2146	2324
7158	0,01439443	5719	5720
7157	0,01439617	3726	3727
7156	0,01450920	5688	5689
7155	0,01451236	4081	4082
7154	0,01454339	453	454
7153	0,01464666	2170	2171
7152	0,01465587	2120	2674
7151	0,01469131	275	276
7150	0,01469978	722	723
7149	0,01472673	2033	2034
7148	0,01475706	2400	2479
7147	0,01479644	2321	2697
7146	0,01482991	2180	2617
7145	0,01489469	2395	2615
7144	0,01492244	2362	2696
7143	0,01509113	580	581
7142	0,01509288	2383	2461
7141	0,01511401	2161	2337
7140	0,01511546	2423	2602
7139	0,01518553	2172	2349
7138	0,01526342	4288	4289
7137	0,01534249	4009	4010
7136	0,01539162	4146	4147
7135	0,01552085	5682	5683
7134	0,01557585	2372	2415
7133	0,01566120	6022	6023
7132	0,01568688	245	246
7131	0,01570176	1886	1887
7130	0,01571052	6270	6271
7129	0,01571910	366	367
7128	0,01572230	1841	1842
7127	0,01576352	4403	4404
7126	0,01577958	2312	2313
7125	0,01583911	2304	2681
7124	0,01586134	2115	2331
7123	0,01586845	4116	4117
7122	0,01586975	2374	2375
7121	0,01588135	4079	4080
7120	0,01589880	2393	2434
7119	0,01590385	2342	2343
7118	0,01592986	5961	5962
7117	0,01593634	2129	2169
7116	0,01593766	4120	4121
7115	0,01594235	4101	4102
7114	0,01598927	4268	4269
7113	0,01602696	2126	2303
7112	0,01607595	5500	5639
7111	0,01607759	4408	4409
7110	0,01610411	4389	4390
7109	0,01611309	4257	4258
7108	0,01614747	340	341
7107	0,01615442	2142	2320
7106	0,01623519	194	195
7105	0,01623612	2174	2352
7104	0,01630341	231	232
7103	0,01636341	2419	2420
7102	0,01636703	183	184
7101	0,01642374	2141	2319
7100	0,01642425	4276	4277
7099	0,01647124	2248	2358
7098	0,01649130	6029	6030
7097	0,01651827	2016	2017
7096	0,01656103	805	806
7095	0,01674062	5690	5691
7094	0,01674660	2026	2027
7093	0,01676036	4393	4394
7092	0,01677628	2121	2676
7091	0,01681279	469	470
7090	0,01682250	2394	2613
7089	0,01684359	3982	3983
7088	0,01686947	2166	2167
7087	0,01688471	2116	2155
7086	0,01706822	5466	5467
7085	0,01708601	2073	2074
7084	0,01712094	1835	1836
7083	0,01716708	5992	5993
7082	0,01718743	5429	5430
7081	0,01720335	4423	4424
7080	0,01721007	5946	5947
7079	0,01725083	3679	3680
7078	0,01725389	843	844
7077	0,01727367	2002	2003
7076	0,01731952	2042	2043
7075	0,01735490	1900	1901
7074	0,01737472	2162	2600
7073	0,01746324	3801	3802
7072	0,01753007	2330	2371
7071	0,01753032	2653	2654
7070	0,01756941	204	205
7069	0,01761367	474	475
7068	0,01762790	2443	2621
7067	0,01764365	3967	3968
7066	0,01765301	403	404
7065	0,01766608	1902	1903
7064	0,01779100	4089	4090
7063	0,01798056	5700	5701
7062	0,01802500	5797	5985
7061	0,01804297	6303	6304
7060	0,01814444	4033	4034
7059	0,01823491	2446	2485
7058	0,01833627	1882	1883
7057	0,01837018	175	176
7056	0,01838052	2405	2623
7055	0,01839839	5713	5714
7054	0,01840702	2144	2184
7053	0,01845693	4048	4049
7052	0,01848434	2360	2619
7051	0,01850110	830	831
7050	0,01856997	459	460
7049	0,01864260	2156	2671
7048	0,01866364	3643	3644
7047	0,01873268	4332	4333
7046	0,01877813	5792	5977
7045	0,01878016	529	530
7044	0,01880019	2133	2687
7043	0,01880579	6985	6995
7042	0,01883762	1992	1993
7041	0,01885072	3779	3780
7040	0,01889631	2012	2013
7039	0,01890662	2114	2291
7038	0,01905839	444	445
7037	0,01915270	2632	2706
7036	0,01917413	2162	2379
7035	0,01928648	2306	2646
7034	0,01931909	356	357
7033	0,01934678	2115	2154
7032	0,01935411	2181	2399
7031	0,01936959	5740	5741
7030	0,01940953	5652	5653
7029	0,01946727	285	286
7028	0,01947028	6297	6298
7027	0,01952017	489	490
7026	0,01952798	3958	3959
7025	0,01960325	4398	4399
7024	0,01979314	2137	2315
7023	0,01983527	2351	2433
7022	0,01988033	2304	2682
7021	0,01990276	2385	2503
7020	0,01998065	1865	1866
7019	0,01999664	2350	2431
7018	0,02000462	2625	2701
7017	0,02001707	2054	2055
7016	0,02002781	2427	2464
7015	0,02018318	876	877
7014	0,02021016	769	770
7013	0,02026151	4292	4293
7012	0,02029834	6007	6008
7011	0,02032976	6291	6292
7010	0,02038168	5496	5497
7009	0,02038669	1816	1817
7008	0,02047750	5733	5734
7007	0,02049843	605	606
7006	0,02053041	3663	3664
7005	0,02054020	2372	2373
7004	0,02054470	361	362
7003	0,02056494	265	266
7002	0,02060434	2092	2093
7001	0,02061413	2250	2620
7000	0,02062377	2355	2690
6999	0,02072626	2113	2667
6998	0,02074901	2023	2024
6997	0,02082122	2402	2480
6996	0,02082251	26	27
6995	0,02095058	69	70
6994	0,02113924	5941	5984
6993	0,02123377	2139	2656
6992	0,02125928	5950	5991
6991	0,02131782	4050	4051
6990	0,02132339	2316	2547
6989	0,02162275	5477	5478
6988	0,02169419	2429	2607
6987	0,02172928	2302	2641
6986	0,02174564	2304	2644
6985	0,02174672	2390	2470
6984	0,02174782	5933	5934
6983	0,02190445	2144	2321
6982	0,02191328	5919	5959
6981	0,02196578	2174	2175
6980	0,02200559	483	484
6979	0,02201798	4263	4264
6978	0,02210274	2424	2603
6977	0,02235414	423	424
6976	0,02237210	2334	2417
6975	0,02255467	3997	3998
6974	0,02263067	2369	2450
6973	0,02265537	697	699
6972	0,02281672	556	557
6971	0,02284452	2164	2383
6970	0,02286273	2647	2684
6969	0,02290625	2478	2618
6968	0,02293861	834	835
6967	0,02295767	5572	5573
6966	0,02298465	2146	2364
6965	0,02307658	5487	5488
6964	0,02312520	3769	3770
6963	0,02327557	2362	2659
6962	0,02330556	2329	2666
6961	0,02352303	752	754
6960	0,02356773	5969	6010
6959	0,02371169	6261	6262
6958	0,02371398	5471	5472
6957	0,02372775	2299	2677
6956	0,02379595	869	870
6955	0,02385718	216	217
6954	0,02387311	3812	3813
6953	0,02395645	2323	2405
6952	0,02409643	2143	2250
6951	0,02413928	2179	2616
6950	0,02414987	849	850
6949	0,02415912	6281	6282
6948	0,02417776	3659	3660
6947	0,02420284	73	74
6946	0,02436431	762	801
6945	0,02440252	701	702
6944	0,02441996	5431	5432
6943	0,02443098	5971	6012
6942	0,02460292	784	785
6941	0,02464094	2427	2504
6940	0,02470971	2363	2443
6939	0,02476002	4187	4188
6938	0,02477256	5949	6032
6937	0,02482992	3742	3744
6936	0,02497155	7015	7025
6935	0,02499448	2894	2936
6934	0,02521408	2318	2658
6933	0,02528939	5811	5812
6932	0,02534508	2123	2124
6931	0,02543643	5941	5942
6930	0,02544005	4307	4308
6929	0,02544120	6270	6272
6928	0,02553736	453	455
6927	0,02564532	4008	4009
6926	0,02574321	3987	3988
6925	0,02586489	2147	2624
6924	0,02594928	5751	5753
6923	0,02599679	412	414
6922	0,02602074	2168	2208
6921	0,02603244	2376	2457
6920	0,02636648	2135	2354
6919	0,02637635	688	728
6918	0,02642375	4267	4268
6917	0,02650495	4474	4475
6916	0,02652351	21	22
6915	0,02657279	698	738
6914	0,02660824	2130	2348
6913	0,02662275	2033	2035
6912	0,02665413	2113	2704
6911	0,02674817	2423	2424
6910	0,02677585	4150	4151
6909	0,02695450	2406	2700
6908	0,02695745	793	794
6907	0,02698763	7051	7097
6906	0,02703107	415	417
6905	0,02703348	2439	2580
6904	0,02706047	4030	4031
6903	0,02710868	1824	1826
6902	0,02711357	2180	2694
6901	0,02713603	2174	2471
6900	0,02717626	2440	2551
6899	0,02723544	5728	5766
6898	0,02726131	2077	2079
6897	0,02732139	2164	2341
6896	0,02734288	3673	3674
6895	0,02735040	351	352
6894	0,02747982	4429	4431
6893	0,02749610	2150	2410
6892	0,02750228	2334	2633
6891	0,02752533	5667	5668
6890	0,02753814	2306	2307
6889	0,02754526	2001	2002
6888	0,02754661	4112	4114
6887	0,02757753	5998	6000
6886	0,02758267	1835	1837
6885	0,02758287	5500	5501
6884	0,02760741	3681	3683
6883	0,02766747	2283	2285
6882	0,02773202	4279	4281
6881	0,02775953	3786	3787
6880	0,02777983	1989	1991
6879	0,02779531	5988	5990
6878	0,02791233	5771	5921
6877	0,02795530	3972	3973
6876	0,02796474	371	373
6875	0,02798299	763	765
6874	0,02818255	2211	2271
6873	0,02819215	5721	5723
6872	0,02821880	439	440
6871	0,02831154	3982	3984
6870	0,02841611	4416	4418
6869	0,02853162	5461	5463
6868	0,02857788	382	384
6867	0,02877924	701	742
6866	0,02882567	5794	5796
6865	0,02883544	6128	6129
6864	0,02889161	34	36
6863	0,02891160	5517	5518
6862	0,02899314	4313	4314
6861	0,02907759	5520	5522
6860	0,02908651	759	799
6859	0,02920821	2248	2478
6858	0,02923380	4177	4178
6857	0,02923427	1821	1822
6856	0,02928217	211	212
6855	0,02933375	2157	2374
6854	0,02956629	2215	2356
6853	0,02956733	700	741
6852	0,02960466	5502	5642
6851	0,02967911	2116	2292
