Numero di cluster	Distanza	Leader	Subordinato
7212	0,01126686	2394	2473
7211	0,01136402	2413	2451
7210	0,01385974	2131	2210
7209	0,01431597	2400	2441
7208	0,01469782	2119	2673
7207	0,01493616	2175	2353
7206	0,01577682	2417	2454
7205	0,01737762	2133	2212
7204	0,01739748	2330	2371
7203	0,01834086	5941	6023
7202	0,01847832	2179	2397
7201	0,01858491	2392	2471
7200	0,01873542	2115	2331
7199	0,01915136	2167	2681
7198	0,01935507	2547	2692
7197	0,01956079	2251	2480
7196	0,01969297	2362	2696
7195	0,02014316	2133	2351
7194	0,02043085	6985	6995
7193	0,02048390	2348	2388
7192	0,02054535	2390	2469
7191	0,02062560	2120	2674
7190	0,02065195	2400	2479
7189	0,02085753	2372	2414
7188	0,02145481	2156	2671
7187	0,02152798	2134	2174
7186	0,02155241	2181	2399
7185	0,02169869	5497	5498
7184	0,02220813	2146	2324
7183	0,02227897	2443	2621
7182	0,02299316	2164	2461
7181	0,02307544	2384	2425
7180	0,02320834	2431	2609
7179	0,02337151	2432	2610
7178	0,02364395	2475	2615
7177	0,02365941	2144	2697
7176	0,02382955	5792	5979
7175	0,02389622	5977	6018
7174	0,02432198	2126	2343
7173	0,02458537	2625	2701
7172	0,02473056	2154	2372
7171	0,02473738	2140	2656
7170	0,02480517	2166	2463
7169	0,02520225	2250	2400
7168	0,02568014	2427	2465
7167	0,02658263	2373	2415
7166	0,02661338	2248	2358
7165	0,02681154	2433	2470
7164	0,02684562	5978	6019
7163	0,02729104	2405	2623
7162	0,02749950	2374	2453
7161	0,02776667	5982	6022
7160	0,02782788	2180	2617
7159	0,02783082	2142	2320
7158	0,02783387	2334	2417
7157	0,02797234	2114	2291
7156	0,02807011	2116	2155
7155	0,02857646	2647	2684
7154	0,02878086	2129	2169
7153	0,02909751	703	742
7152	0,02913669	2143	2402
7151	0,02921797	2443	2481
7150	0,02923501	5500	5639
7149	0,02928727	2131	2171
7148	0,02934022	5946	6029
7147	0,02948419	2167	2464
7146	0,02955258	2600	2676
7145	0,02957555	2170	2572
7144	0,02958264	5949	6032
7143	0,03008374	2894	2936
7142	0,03044315	2113	2370
7141	0,03056160	2392	2612
7140	0,03127691	7015	7025
7139	0,03131443	2134	2352
7138	0,03170758	5797	5985
7137	0,03227283	2478	2618
7136	0,03234728	2316	2547
7135	0,03248426	2350	2431
7134	0,03288967	2457	2675
7133	0,03302940	2424	2603
7132	0,03303908	2157	2375
7131	0,03307271	2362	2659
7130	0,03314855	5728	5766
7129	0,03362784	1772	1782
7128	0,03365879	2413	2706
7127	0,03369124	2121	2420
7126	0,03395929	2394	2613
7125	0,03401765	2433	2687
7124	0,03410876	2423	2602
7123	0,03417721	2251	2620
7122	0,03421786	2144	2184
7121	0,03427540	2141	2319
7120	0,03473514	2179	2616
7119	0,03476145	2143	2321
7118	0,03482250	2332	2373
7117	0,03486372	5992	6111
7116	0,03488910	2150	2410
7115	0,03494214	2130	2348
7114	0,03497214	2137	2315
7113	0,03513862	2429	2607
7112	0,03537323	3117	3146
7111	0,03614901	2644	2682
7110	0,03647629	2162	2600
7109	0,03670755	5947	6030
7108	0,03684711	2385	2503
7107	0,03710153	2164	2383
7106	0,03726505	2147	2624
7105	0,03733188	2139	2316
7104	0,03765040	2151	2666
7103	0,03779997	2166	2384
7102	0,03829294	2129	2306
7101	0,03842997	601	602
7100	0,03882925	2172	2349
7099	0,03891325	777	814
7098	0,03895113	79	80
7097	0,03923532	2330	2705
7096	0,03949416	2124	2342
7095	0,03992387	1865	1866
7094	0,04001950	2446	2485
7093	0,04003241	2309	2649
7092	0,04028395	2083	2084
7091	0,04047679	2129	2646
7090	0,04074513	2363	2443
7089	0,04087960	551	552
7088	0,04101729	2364	2622
7087	0,04104839	7005	7015
7086	0,04110893	2391	2650
7085	0,04159418	2302	2641
7084	0,04164674	2380	2677
7083	0,04167406	2484	2522
7082	0,04175058	1824	1825
7081	0,04180421	474	475
7080	0,04188957	2406	2700
7079	0,04194639	2290	2329
7078	0,04213167	469	470
7077	0,04242336	3997	3998
7076	0,04245554	806	844
7075	0,04261613	2161	2637
7074	0,04262740	2116	2632
7073	0,04263194	2134	2311
7072	0,04275632	2419	2636
7071	0,04277145	2571	2683
7070	0,04280310	5762	5991
7069	0,04285116	762	801
7068	0,04296845	722	723
7067	0,04297905	183	184
7066	0,04306185	6969	6979
7065	0,04307931	701	740
7064	0,04320673	5942	5984
7063	0,04320953	1835	1836
7062	0,04321192	2313	2393
7061	0,04321501	2445	2662
7060	0,04326558	5919	5959
