#Date;Time;[CPU]User%;[CPU]Nice%;[CPU]Sys%;[CPU]Wait%;[CPU]Irq%;[CPU]Soft%;[CPU]Steal%;[CPU]Idle%;[CPU]Totl%;[CPU]Guest%;[CPU]GuestN%;[CPU]Intrpt/sec;[CPU]Ctx/sec;[CPU]Proc/sec;[CPU]ProcQue;[CPU]ProcRun;[CPU]L-Avg1;[CPU]L-Avg5;[CPU]L-Avg15;[CPU]RunTot;[CPU]BlkTot;[MEM]Tot;[MEM]Used;[MEM]Free;[MEM]Shared;[MEM]Buf;[MEM]Cached;[MEM]Slab;[MEM]Map;[MEM]Anon;[MEM]AnonH;[MEM]Commit;[MEM]Locked;[MEM]SwapTot;[MEM]SwapUsed;[MEM]SwapFree;[MEM]SwapIn;[MEM]SwapOut;[MEM]Dirty;[MEM]Clean;[MEM]Laundry;[MEM]Inactive;[MEM]PageIn;[MEM]PageOut;[MEM]PageFaults;[MEM]PageMajFaults;[MEM]HugeTotal;[MEM]HugeFree;[MEM]HugeRsvd;[MEM]SUnreclaim;[NET]RxPktTot;[NET]TxPktTot;[NET]RxKBTot;[NET]TxKBTot;[NET]RxCmpTot;[NET]RxMltTot;[NET]TxCmpTot;[NET]RxErrsTot;[NET]TxErrsTot;[DSK]ReadTot;[DSK]WriteTot;[DSK]OpsTot;[DSK]ReadKBTot;[DSK]WriteKBTot;[DSK]KbTot;[DSK]ReadMrgTot;[DSK]WriteMrgTot;[DSK]MrgTot;[NFS]ReadsS;[NFS]WritesS;[NFS]MetaS;[NFS]CommitS;[NFS]Udp;[NFS]Tcp;[NFS]TcpConn;[NFS]BadAuth;[NFS]BadClient;[NFS]ReadsC;[NFS]WritesC;[NFS]MetaC;[NFS]CommitC;[NFS]Retrans;[NFS]AuthRef
20251011;12:53:03;80;0;8;0;0;0;0;13;87;0;0;7049;473;0;663;8;58;30;11;8;0;15995824;3495488;12500336;0;79852;1270188;240440;352268;1658888;0;5806168;16;2097148;0;2097148;0;0;436;0;0;496344;0;4;383217;0;0;0;0;170860;0;0;0;0;0;0;0;0;0;0;1;1;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:04;63;0;24;0;0;0;0;12;88;0;0;7119;798;5;668;10;58;30;11;10;0;15995824;3517152;12478672;0;79884;1268764;240444;352528;1626088;0;5823680;16;2097148;0;2097148;0;0;436;0;0;496344;144;224;1502343;0;0;0;0;170864;0;0;0;0;0;0;0;0;0;33;10;43;144;224;369;0;46;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:05;67;0;20;0;0;0;0;12;88;0;0;10162;1188;2;669;8;125;44;16;8;0;15995824;3525356;12470468;0;79884;1265440;241008;354708;1449592;0;5837848;16;2097148;768;2096380;0;402653184;792;0;0;496536;0;393216;1147736;0;0;0;0;171200;0;0;0;0;0;0;0;0;0;0;3072;3072;0;393216;393216;0;95232;95232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:06;67;0;20;0;0;0;0;12;88;0;0;8066;615;0;669;8;125;44;16;8;0;15995824;3516476;12479348;0;79884;1265440;240980;354708;1596108;0;5854248;16;2097148;768;2096380;0;134217728;792;0;0;496536;0;131072;1323170;0;0;0;0;171204;0;0;0;0;0;0;0;0;0;0;1024;1024;0;131072;131072;0;31744;31744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:07;68;0;19;0;0;0;0;12;88;0;0;10359;1204;9;671;9;125;44;16;9;0;15995824;3617604;12378220;0;79884;1266688;241288;354732;1849764;0;9404964;16;2097148;1024;2096124;0;402653184;180;0;0;496540;32;393816;1163588;1;0;0;0;171400;0;0;0;0;0;0;0;0;0;2;3189;3191;32;393816;393848;0;95235;95235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:08;77;0;11;0;0;0;0;12;88;0;0;8081;735;0;671;9;125;44;16;9;0;15995824;3996396;11999428;0;79884;1265648;241288;354732;1959744;0;9420072;16;2097148;33536;2063612;0;134217728;176;0;0;496540;0;131076;629742;0;0;0;0;171400;0;0;0;0;0;0;0;0;0;0;1025;1025;0;131076;131076;0;31744;31744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:09;80;0;8;0;0;0;0;12;88;0;0;7033;672;0;671;9;125;44;16;9;0;15995824;4085068;11910756;0;79884;1265408;241304;354732;2258288;0;9370908;16;2097148;1280;2095868;0;0;176;0;0;496540;0;0;481224;0;0;0;0;171400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:10;81;0;7;0;0;0;0;12;88;0;0;8067;705;0;671;10;187;58;21;10;0;15995824;4284444;11711380;0;79884;1265408;241440;354732;2430968;0;9354520;16;2097148;1536;2095612;0;134217728;176;0;0;496540;0;131072;308394;0;0;0;0;171456;0;0;0;0;0;0;0;0;0;0;1024;1024;0;131072;131072;0;31744;31744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:11;84;0;3;0;0;0;0;12;88;0;0;7047;673;0;671;9;187;58;21;9;0;15995824;4428820;11567004;0;79892;1265408;241456;354732;2647668;0;9354520;16;2097148;1536;2095612;0;0;196;0;0;496548;0;28;119611;0;0;0;0;171456;0;0;0;0;0;0;0;0;0;0;2;2;0;28;28;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:12;86;0;1;0;0;0;0;12;88;0;0;7184;946;6;671;9;187;58;21;9;0;15995824;4559104;11436720;0;79892;1265408;241468;354732;2777408;0;9354520;16;2097148;1536;2095612;0;0;196;0;0;496548;0;0;33259;0;0;0;0;171468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
