procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 543256  13492 191168    0    0   893   123  304    5  6 15 77  2  0  0
 0  0      0 543256  13492 191224    0    0     0     0   91   66  0  0 100  0  0  0
 0  0      0 543256  13492 191224    0    0     0     0   37   59  0  0 100  0  0  0
 0  0      0 543256  13492 191224    0    0     0     0   35   62  0  0 100  0  0  0
 0  0      0 543256  13492 191224    0    0     0     0   37   62  0  0 100  0  0  0
 0  0      0 543256  13492 191224    0    0     0     0   37   67  0  1 99  0  0  0
 0  0      0 543256  13500 191224    0    0     0    32   46   71  0  0 100  0  0  0
 1  0      0 543256  13500 191224    0    0     0    84   55   72  0  0 100  0  0  0
 0  0      0 543256  13500 191224    0    0     0     0   43   67  0  1 99  0  0  0
 0  0      0 543256  13500 191224    0    0     0     0   39   69  0  0 100  0  0  0
 0  0      0 543256  13500 191224    0    0     0     0   44   73  0  0 100  0  0  0
 0  0      0 543256  13508 191224    0    0     0    24   35   66  0  0 100  0  0  0
 0  0      0 543256  13508 191224    0    0     0    40   52   70  0  1 99  0  0  0
 0  0      0 543256  13508 191224    0    0     0     0   40   73  0  0 100  0  0  0
 0  0      0 543256  13508 191224    0    0     0     0   35   58  0  0 100  0  0  0
 0  0      0 543256  13508 191224    0    0     0     0   33   62  0  0 100  0  0  0
 0  0      0 543256  13508 191224    0    0     0     0   46   77  0  1 99  0  0  0
 0  0      0 543256  13516 191224    0    0     0    12   39   62  1  0 99  0  0  0
 0  0      0 543256  13516 191224    0    0     0     4   78   92  0  2 98  0  0  0
 0  0      0 543256  13516 191224    0    0     0     0   39   65  0  0 100  0  0  0
 0  0      0 543256  13524 191256    0    0    12     0   84  111  0  1 95  4  0  0
 1  0      0 535140  13524 203436    0    0     0     0  820  157  0 58 42  0  0  0
 1  0      0 534836  13524 203440    0    0     0     0 1116  450  1 85 14  0  0  0
 2  0      0 534296  13540 203440    0    0     8    20  574  228  0 33 67  0  0  0
 0  0      0 534844  13540 203440    0    0     0     4  474  140  0 24 76  0  0  0
 0  0      0 534776  13540 203440    0    0     0     0  632  182  0 34 66  0  0  0
 0  0      0 534788  13540 203444    0    0     0     8  849  256  0 51 49  0  0  0
 1  0      0 533564  13540 203444    0    0     0     0  957  292  0 63 38  0  0  0
 2  0      0 533852  13548 203444    0    0     0    32 1297  426  1 85 14  0  0  0
 0  0      0 534264  13548 203444    0    0     0     0  926  245  0 57 43  0  0  0
 0  0      0 532564  13548 203448    0    0     0     4  742  150  0 41 59  0  0  0
 0  0      0 534080  13548 203448    0    0     0    12  709  236  0 38 62  0  0  0
 0  0      0 533828  13548 203448    0    0     0     0  864  201  0 50 50  0  0  0
 0  0      0 533948  13556 203448    0    0     0    28  538  167  0 28 72  0  0  0
 0  0      0 531684  13556 203448    0    0     0     0 1178  226  1 81 18  0  0  0
 0  0      0 533520  13556 203452    0    0     0     0  548  136  0 30 70  0  0  0
 0  0      0 533440  13556 203452    0    0     0    12  957  283  0 59 41  0  0  0
 2  0      0 532404  13556 203452    0    0     0     0  696  160  0 38 62  0  0  0
 0  0      0 533280  13564 203452    0    0     0    28  800  191  1 46 53  0  0  0
 2  0      0 532824  13564 203452    0    0     0     0  960  237  0 56 44  0  0  0
 0  0      0 533276  13564 203456    0    0     0     0  619  209  0 33 67  0  0  0
 2  0      0 531516  13564 203456    0    0     0    12  960  261  0 57 43  0  0  0
 0  0      0 533276  13564 203456    0    0     0     0  584  256  0 31 69  0  0  0
 0  0      0 533460  13572 203456    0    0     0    28 1074  272  0 67 33  0  0  0
 0  0      0 533268  13572 203460    0    0     0     0  632  205  1 34 65  0  0  0
 1  0      0 532936  13572 203460    0    0     0     0  826  212  0 47 53  0  0  0
 0  0      0 533456  13572 203460    0    0     0     0  767  209  0 44 56  0  0  0
 3  0      0 532424  13572 203464    0    0     0    24  916  221  0 54 46  0  0  0
 0  0      0 533256  13572 203468    0    0     0     0  999  233  1 61 38  0  0  0
 0  0      0 533248  13580 203468    0    0     0    36  886  259  0 53 47  0  0  0
 2  0      0 533340  13580 203468    0    0     0     0  843  168  0 49 51  0  0  0
 1  0      0 532732  13580 203468    0    0     0     0 1131  372  0 73 27  0  0  0
 3  0      0 531436  13580 203468    0    0     0     8  750  210  0 40 60  0  0  0
 2  0      0 531832  13580 203472    0    0     0     4 1191  284  0 78 22  0  0  0
 0  0      0 533232  13588 203472    0    0     0    28  829  167  1 49 50  0  0  0
 1  0      0 532720  13588 203472    0    0     0     0  756  309  0 42 58  0  0  0
 0  0      0 533424  13588 203472    0    0     0     0  631  157  0 34 66  0  0  0
 1  0      0 532808  13588 203476    0    0     0    12  762  240  0 44 56  0  0  0
 0  0      0 533228  13588 203476    0    0     0     0  963  297  1 59 40  0  0  0
 4  0      0 531304  13596 203476    0    0     0    32 1123  351  0 73 28  0  0  0
 0  0      0 533412  13596 203476    0    0     0     0  671  310  0 38 62  0  0  0
 2  0      0 532660  13596 203476    0    0     0     0 1196  452  0 78 22  0  0  0
 1  0      0 533076  13596 203480    0    0     0     0  869  319  0 52 48  0  0  0
 6  0      0 530480  13596 203480    0    0     0     8 1188  453  0 78 22  0  0  0
 2  0      0 532980  13604 203480    0    0     0    28 1177  359  1 79 20  0  0  0
 0  0      0 533044  13604 203480    0    0     0     4 1085  406  0 70 30  0  0  0
 1  0      0 532272  13604 203484    0    0     0     0  581  129  0 32 68  0  0  0
 0  0      0 533328  13604 203484    0    0     0     0 1123  401  0 73 27  0  0  0
 0  0      0 533360  13604 203484    0    0     0     0  587  175  0 32 68  0  0  0
 0  0      0 533352  13612 203484    0    0     0    36  881  250  1 49 49  0  0  0
 2  0      0 532156  13612 203484    0    0     0     0  638  165  0 34 66  0  0  0
 0  0      0 533352  13612 203488    0    0     0     4 1355  343  0 94  6  0  0  0
 3  0      0 531540  13612 203488    0    0     0     0  805  215  0 46 54  0  0  0
 0  0      0 533156  13612 203488    0    0     0     0  660  222  0 37 63  0  0  0
 2  0      0 532748  13620 203492    0    0     0    36  616  182  1 33 66  0  0  0
 2  0      0 531764  13620 203496    0    0     0     0  756  150  0 43 57  0  0  0
 1  0      0 532212  13620 203496    0    0     0     0  902  207  0 53 47  0  0  0
 2  0      0 532400  13620 203496    0    0     0     4  914  235  0 53 47  0  0  0
 1  0      0 532244  13620 203496    0    0     0     0 1157  282  1 76 23  0  0  0
 3  0      0 532928  13628 203496    0    0     0    36  773  196  0 44 56  0  0  0
 1  0      0 532392  13628 203500    0    0     0     0  934  237  0 55 45  0  0  0
 1  0      0 532452  13628 203500    0    0     0     0  939  169  0 58 42  0  0  0
 3  0      0 531424  13628 203500    0    0     0     0 1062  295  0 69 31  0  0  0
 1  0      0 532000  13628 203500    0    0     0     4 1222  381  1 80 19  0  0  0
 2  0      0 531972  13636 203496    0    0     0    28 1122  352  0 72 28  0  0  0
 0  0      0 533028  13636 203504    0    0     0    12 1036  279  0 66 34  0  0  0
 0  0      0 533024  13636 203504    0    0     0     0  686  223  0 38 62  0  0  0
 1  0      0 532912  13636 203504    0    0     0     0  600  156  1 32 67  0  0  0
 1  0      0 532012  13636 203504    0    0     0     0  675  170  0 38 62  0  0  0
 2  0      0 531720  13636 203508    0    0     0     4  671  220  0 35 65  0  0  0
 0  0      0 532788  13644 203508    0    0     0    40  674  168  0 37 63  0  0  0
 0  0      0 532488  13644 203508    0    0     0     0  888  365  0 54 46  0  0  0
 1  0      0 532092  13644 203508    0    0     0     0 1137  232  0 71 29  0  0  0
 1  0      0 531740  13644 203512    0    0     0     0  641  150  1 34 65  0  0  0
 0  0      0 532120  13652 203512    0    0     0    28 1355  362  0 92  8  0  0  0
 2  0      0 532196  13652 203512    0    0     0    12  902  173  0 54 46  0  0  0
 0  0      0 532556  13652 203516    0    0     0     0  787  226  0 45 55  0  0  0
 0  0      0 532356  13652 203520    0    0     0     0  762  265  0 44 56  0  0  0
 0  0      0 531420  13652 203520    0    0     0     0 1101  343  1 67 31  0  0  0
 0  0      0 532356  13652 203520    0    0     0     0  734  215  0 42 58  0  0  0
 0  0      0 531452  13660 203520    0    0     0    36  731  235  0 40 60  0  0  0
 0  0      0 532352  13660 203520    0    0     0     8  643  149  0 33 67  0  0  0
 0  0      0 532536  13660 203524    0    0     0     0  765  244  1 44 55  0  0  0
 1  0      0 531700  13660 203524    0    0     0     0  684  179  0 37 63  0  0  0
 3  0      0 530664  13660 203524    0    0     0     0  761  233  0 43 57  0  0  0
 1  0      0 532588  13668 203524    0    0     0    44  911  288  0 54 46  0  0  0
 3  0      0 531144  13668 203524    0    0     0     0  982  212  1 59 40  0  0  0
 0  0      0 531168  13668 203528    0    0     0     4  690  280  0 38 62  0  0  0
 1  0      0 532136  13668 203528    0    0     0     0  852  217  0 49 51  0  0  0
 0  0      0 532332  13668 203528    0    0     0     0 1296  373  0 90 10  0  0  0
 5  0      0 530308  13676 203528    0    0     0    36  536  167  0 28 72  0  0  0
 0  0      0 532452  13676 203532    0    0     0     0  661  251  0 37 63  0  0  0
 2  0      0 531732  13676 203532    0    0     0     0  651  155  1 33 66  0  0  0
 1  0      0 532128  13676 203532    0    0     0     4  712  186  0 39 61  0  0  0
 1  0      0 531392  13676 203532    0    0     0     0  906  171  0 52 48  0  0  0
 0  0      0 532072  13676 203536    0    0     0    12  727  213  0 40 60  0  0  0
 0  0      0 532312  13684 203536    0    0     0    40  802  281  0 45 55  0  0  0
 0  0      0 532308  13684 203536    0    0     0     0  820  201  1 47 52  0  0  0
 0  0      0 531412  13684 203536    0    0     0     0 1061  249  0 66 34  0  0  0
 0  0      0 532500  13684 203536    0    0     0     4  967  201  0 58 42  0  0  0
 0  0      0 532304  13684 203540    0    0     0     0  595  153  1 32 67  0  0  0
 0  0      0 532332  13692 203540    0    0     0    36  658  209  0 34 66  0  0  0
 0  0      0 532300  13692 203540    0    0     0     0  796  230  0 47 53  0  0  0
 0  0      0 532488  13692 203540    0    0     0     0  592  176  0 31 69  0  0  0
 2  0      0 531396  13692 203544    0    0     0     0  273  113  0 11 89  0  0  0
 1  0      0 531872  13692 203544    0    0     0     4 1237  328  0 79 21  0  0  0
 0  0      0 532428  13708 203544    0    0     0    52  925  247  0 57 43  0  0  0
 0  0      0 532236  13708 203544    0    0     0     8  777  254  0 45 55  0  0  0
 0  0      0 532240  13708 203544    0    0     0     0  795  185  1 47 52  0  0  0
 1  0      0 531524  13708 203548    0    0     0     0  790  219  0 46 54  0  0  0
 2  0      0 531420  13708 203548    0    0     0     0  754  193  0 40 60  0  0  0
 1  0      0 532216  13716 203540    0    0     0    32  645  184  0 34 66  0  0  0
 1  0      0 532220  13716 203552    0    0     0     8 1006  177  0 61 39  0  0  0
 0  0      0 532216  13716 203552    0    0     0     0 1020  321  0 63 37  0  0  0
 0  0      0 532408  13716 203556    0    0     0     0  703  172  0 38 62  0  0  0
 1  0      0 531800  13716 203556    0    0     0     0 1060  190  1 65 33  0  0  0
 1  0      0 532468  13716 203556    0    0     0     4  758  185  0 43 57  0  0  0
 2  0      0 531524  13724 203556    0    0     0    28 1003  321  1 60 39  0  0  0
 2  0      0 531244  13724 203560    0    0     0     8 1019  254  0 61 39  0  0  0
 1  0      0 531784  13724 203560    0    0     0     0  867  293  0 51 49  0  0  0
 3  0      0 530468  13724 203560    0    0     0     0  926  334  0 55 45  0  0  0
 0  0      0 533004  13724 203560    0    0     0     0 1017  290  0 64 36  0  0  0
 0  0      0 532800  13732 203564    0    0     0    32  516  199  1 25 74  0  0  0
 0  0      0 532680  13732 203564    0    0     0    12  495  189  0 23 77  0  0  0
 1  0      0 531792  13732 203564    0    0     0     0  716  265  0 40 60  0  0  0
 1  0      0 531748  13732 203568    0    0     0     0 1128  317  0 73 27  0  0  0
 3  0      0 531440  13732 203568    0    0     0     4  941  237  0 55 45  0  0  0
 1  0      0 531604  13740 203572    0    0     0    28 1341  454  0 92  8  0  0  0
 5  0      0 530180  13740 203572    0    0     0    16  949  300  1 55 44  0  0  0
 1  0      0 532536  13740 203572    0    0     0     0 1318  411  0 92  8  0  0  0
 4  0      0 530680  13740 203572    0    0     0     0  890  291  0 52 48  0  0  0
 2  0      0 531376  13740 203576    0    0     0     0  669  272  0 39 61  0  0  0
 5  0      0 531748  13748 203576    0    0     0    36  929  318  0 56 44  0  0  0
 0  0      0 532668  13748 203576    0    0     0     8 1158  562  1 77 22  0  0  0
 1  0      0 532116  13748 203576    0    0     0     4  884  273  0 53 47  0  0  0
 0  0      0 532428  13748 203580    0    0     0     0  652  241  0 37 63  0  0  0
 1  0      0 532424  13748 203580    0    0     0     0 1278  420  0 88 12  0  0  0
 3  0      0 531320  13756 203580    0    0     0    28 1183  332  1 73 26  0  0  0
 2  0      0 532436  13756 203580    0    0     0     0  856  273  0 52 48  0  0  0
 0  0      0 532748  13756 203584    0    0     0     8  985  213  0 57 43  0  0  0
 1  0      0 531568  13756 203584    0    0     0     4  346  122  1 17 82  0  0  0
 0  0      0 531600  13756 203584    0    0     0     0  652  179  0 35 65  0  0  0
 2  0      0 531708  13764 203576    0    0     0    32 1116  332  0 71 29  0  0  0
 2  0      0 531624  13764 203584    0    0     0     0  978  208  0 59 41  0  0  0
 1  0      0 532644  13764 203588    0    0     0     0  992  220  0 62 38  0  0  0
 0  0      0 532484  13764 203588    0    0     0    12 1301  378  1 86 13  0  0  0
 0  0      0 532488  13764 203588    0    0     0     4  486  146  0 24 76  0  0  0
 2  0      0 531444  13772 203580    0    0     0    28 1250  512  0 85 15  0  0  0
 1  0      0 532060  13772 203588    0    0     0     0 1089  191  0 67 33  0  0  0
 1  0      0 532184  13772 203592    0    0     0     0  702  228  0 40 60  0  0  0
 0  0      0 532472  13772 203592    0    0     0     8  454  171  0 22 78  0  0  0
 1  0      0 532664  13772 203592    0    0     0     0  604  161  1 30 68  0  0  0
 0  0      0 531252  13780 203584    0    0     0    32  824  184  0 48 52  0  0  0
 0  0      0 532652  13780 203596    0    0     0     0  827  170  0 47 53  0  0  0
 1  0      0 531568  13780 203596    0    0     0     0  630  166  0 32 68  0  0  0
 1  0      0 532396  13780 203596    0    0     0     8  546  152  0 28 72  0  0  0
 0  0      0 532464  13780 203596    0    0     0     0  604  147  0 32 68  0  0  0
 1  0      0 532176  13780 203596    0    0     0    12  925  189  1 54 45  0  0  0
 0  0      0 532640  13788 203600    0    0     0    32  989  211  0 65 35  0  0  0
 1  0      0 532160  13788 203600    0    0     0     0  742  177  0 40 60  0  0  0
 1  0      0 532448  13788 203600    0    0     0     8  963  387  1 59 40  0  0  0
 0  0      0 532448  13788 203600    0    0     0     0  505  140  0 24 76  0  0  0
 0  0      0 532448  13788 203604    0    0     0     0  932  217  0 57 43  0  0  0
 2  0      0 530504  13796 203604    0    0     0    28  610  187  0 32 68  0  0  0
 1  0      0 531928  13796 203604    0    0     0     4 1261  272  0 85 15  0  0  0
 1  0      0 532432  13796 203604    0    0     0     0  799  208  1 47 52  0  0  0
 0  0      0 532184  13796 203608    0    0     0     8  913  174  0 55 45  0  0  0
 5  0      0 530684  13796 203608    0    0     0     0  754  202  0 41 59  0  0  0
 2  0      0 531016  13804 203608    0    0     0    28  879  315  0 52 48  0  0  0
 3  0      0 531120  13804 203608    0    0     0     0  861  249  0 51 49  0  0  0
 0  0      0 532424  13804 203608    0    0     0     4 1160  416  0 79 21  0  0  0
 4  0      0 531420  13804 203612    0    0     0     8 1021  244  0 61 39  0  0  0
 0  0      0 532612  13804 203612    0    0     0     0  675  238  0 38 62  0  0  0
 0  0      0 532404  13812 203620    0    0     0    28 1027  246  1 63 36  0  0  0
 1  0      0 531892  13812 203620    0    0     0     0  417  128  0 20 80  0  0  0
 0  0      0 532152  13812 203620    0    0     0     0  879  249  0 52 48  0  0  0
 3  0      0 530984  13812 203624    0    0     0    20  728  213  0 42 58  0  0  0
 1  0      0 532396  13812 203656    0    0     0     0 1113  282  1 71 28  0  0  0
 3  0      0 530772  13820 203648    0    0     0    36 1072  240  0 69 31  0  0  0
 1  0      0 531468  13820 203656    0    0     0     0  734  205  1 40 58  0  0  0
 3  0      0 530708  13820 203656    0    0     0     0  970  220  0 59 41  0  0  0
 0  0      0 532356  13820 203660    0    0     0     8  882  295  0 54 46  0  0  0
 0  0      0 532552  13820 203660    0    0     0     4  958  205  0 59 41  0  0  0
 1  0      0 532320  13820 203660    0    0     0     0  587  169  1 33 66  0  0  0
 0  0      0 532028  13828 203664    0    0     0    28  589  173  0 29 71  0  0  0
 1  0      0 532176  13828 203664    0    0     0     0  613  162  0 32 68  0  0  0
 1  0      0 532160  13828 203664    0    0     0     8  967  218  0 61 39  0  0  0
 0  0      0 532160  13828 203664    0    0     0     0 1210  355  1 80 19  0  0  0
 2  0      0 531536  13828 203664    0    0     0     4  517  172  0 25 75  0  0  0
 0  0      0 532080  13836 203668    0    0     0    56 1020  367  0 64 36  0  0  0
 3  0      0 530260  13836 203668    0    0     0     0  508  194  0 26 74  0  0  0
 1  0      0 532136  13836 203668    0    0     0     0  878  194  1 52 47  0  0  0
 1  0      0 531452  13836 203668    0    0     0     8  705  205  0 38 62  0  0  0
 1  0      0 532092  13836 203668    0    0     0     0 1055  313  0 67 33  0  0  0
 1  0      0 530936  13844 203672    0    0     0    32  695  155  1 39 60  0  0  0
 0  0      0 532308  13844 203672    0    0     0     0  984  298  0 61 39  0  0  0
 0  0      0 532052  13844 203672    0    0     0     0  642  149  0 34 66  0  0  0
 0  0      0 532052  13844 203672    0    0     0     8  618  179  0 31 69  0  0  0
 0  0      0 532048  13844 203676    0    0     0     0  649  165  0 36 64  0  0  0
 0  0      0 532040  13852 203668    0    0     0    28  753  175  0 41 59  0  0  0
 1  0      0 531172  13852 203676    0    0     0     4  815  160  1 48 51  0  0  0
 2  0      0 531144  13852 203676    0    0     0     0  767  224  0 42 58  0  0  0
 2  0      0 531320  13852 203676    0    0     0    12  980  212  0 59 41  0  0  0
 1  0      0 531140  13852 203680    0    0     0     0 1129  377  1 72 27  0  0  0
 2  0      0 530548  13860 203672    0    0     0    28  742  207  0 42 58  0  0  0
 0  0      0 532028  13860 203680    0    0     0     0  962  375  0 60 40  0  0  0
 2  0      0 531284  13860 203680    0    0     0     4 1147  227  0 80 20  0  0  0
 5  0      0 530420  13860 203684    0    0     0     0  965  394  1 67 32  0  0  0
 2  0      0 530612  13860 203684    0    0     0     8 1079  335  0 68 32  0  0  0
 1  0      0 531884  13868 203684    0    0     0    32 1181  427  0 78 22  0  0  0
 2  0      0 531556  13868 203684    0    0     0     0  520  129  1 30 69  0  0  0
 5  0      0 529060  13868 203684    0    0     0     0 1046  425  0 100  0  0  0  0
 3  0      0 530296  13868 203684    0    0     0     4 1101  534  2 98  0  0  0  0
 2  0      0 531068  13868 203688    0    0     0     8 1047  494  0 100  0  0  0  0
 0  0      0 532004  13876 203688    0    0     0    28 1003  205  1 71 28  0  0  0
