timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762534008060,688,Request 5 Mid_High 4,200,OK,Thread Group 1 1-1,text,true,,3379516,134,2,2,http://192.168.184.134/mid_high_4.txt,142,0,95
1762534008568,366,Request 4 Medium 1,200,OK,Thread Group 1 1-2,text,true,,2867516,132,2,2,http://192.168.184.134/medium_1.txt,157,0,141
1762534008760,265,Request 6 High 1,200,OK,Thread Group 1 1-1,text,true,,4710715,130,2,2,http://192.168.184.134/high_1.txt,9,0,0
1762534009027,295,Request 7 Very_High 3,200,OK,Thread Group 1 1-1,text,true,,6861115,135,2,2,http://192.168.184.134/very_high_3.txt,30,0,0
1762534008938,387,Request 7 Very_High 3,200,OK,Thread Group 1 1-2,text,true,,6861115,135,2,2,http://192.168.184.134/very_high_3.txt,21,0,0
1762534009324,154,Request 3 Mid_Low 5,200,OK,Thread Group 1 1-1,text,true,,2304315,133,2,2,http://192.168.184.134/mid_low_5.txt,4,0,0
1762534009480,210,Request 7 Very_High 3,200,OK,Thread Group 1 1-1,text,true,,6861115,135,3,3,http://192.168.184.134/very_high_3.txt,22,0,0
1762534009695,15,Request 1 Very_Low 5,200,OK,Thread Group 1 1-1,text,true,,51511,134,3,3,http://192.168.184.134/very_low_5.txt,15,0,0
1762534009327,407,Request 7 Very_High 3,200,OK,Thread Group 1 1-2,text,true,,6861115,135,3,3,http://192.168.184.134/very_high_3.txt,7,0,0
1762534009738,42,Request 2 Low 3,200,OK,Thread Group 1 1-2,text,true,,717113,129,3,3,http://192.168.184.134/low_3.txt,16,0,0
1762534009565,281,Request 7 Very_High 3,200,OK,Thread Group 1 1-3,text,true,,6861116,135,3,3,http://192.168.184.134/very_high_3.txt,80,0,27
1762534009903,52,Request 4 Medium 1,200,OK,Thread Group 1 1-1,text,true,,2867515,132,3,3,http://192.168.184.134/medium_1.txt,8,0,0
1762534009998,5,Request 1 Very_Low 5,200,OK,Thread Group 1 1-3,text,true,,51511,134,3,3,http://192.168.184.134/very_low_5.txt,4,0,0
1762534010120,51,Request 5 Mid_High 4,200,OK,Thread Group 1 1-2,text,true,,3379515,134,3,3,http://192.168.184.134/mid_high_4.txt,9,0,0
1762534010351,55,Request 5 Mid_High 4,200,OK,Thread Group 1 1-1,text,true,,3379515,134,3,3,http://192.168.184.134/mid_high_4.txt,10,0,0
1762534010515,66,Request 5 Mid_High 4,200,OK,Thread Group 1 1-3,text,true,,3379515,134,4,4,http://192.168.184.134/mid_high_4.txt,6,0,0
1762534010589,24,Request 2 Low 3,200,OK,Thread Group 1 1-2,text,true,,717113,129,4,4,http://192.168.184.134/low_3.txt,10,0,0
1762534010565,126,Request 6 High 1,200,OK,Thread Group 1 1-4,text,true,,4710716,130,4,4,http://192.168.184.134/high_1.txt,12,0,8
1762534010708,3,Request 1 Very_Low 5,200,OK,Thread Group 1 1-1,text,true,,51511,134,4,4,http://192.168.184.134/very_low_5.txt,3,0,0
1762534010937,48,Request 3 Mid_Low 5,200,OK,Thread Group 1 1-3,text,true,,2304315,133,4,4,http://192.168.184.134/mid_low_5.txt,7,0,0
1762534011097,75,Request 5 Mid_High 4,200,OK,Thread Group 1 1-2,text,true,,3379515,134,4,4,http://192.168.184.134/mid_high_4.txt,8,0,0
1762534011115,96,Request 5 Mid_High 4,200,OK,Thread Group 1 1-4,text,true,,3379515,134,4,4,http://192.168.184.134/mid_high_4.txt,8,0,0
1762534011359,129,Request 7 Very_High 3,200,OK,Thread Group 1 1-1,text,true,,6861115,135,4,4,http://192.168.184.134/very_high_3.txt,4,0,0
1762534011434,159,Request 7 Very_High 3,200,OK,Thread Group 1 1-3,text,true,,6861115,135,5,5,http://192.168.184.134/very_high_3.txt,14,0,0
1762534011625,52,Request 2 Low 3,200,OK,Thread Group 1 1-4,text,true,,717113,129,5,5,http://192.168.184.134/low_3.txt,20,0,0
1762534011558,134,Request 2 Low 3,200,OK,Thread Group 1 1-5,text,true,,717114,129,5,5,http://192.168.184.134/low_3.txt,56,0,8
1762534011528,175,Request 7 Very_High 3,200,OK,Thread Group 1 1-2,text,true,,6861115,135,5,5,http://192.168.184.134/very_high_3.txt,21,0,0
1762534011713,45,Request 3 Mid_Low 5,200,OK,Thread Group 1 1-1,text,true,,2304315,133,5,5,http://192.168.184.134/mid_low_5.txt,2,0,0
1762534011922,3,Request 1 Very_Low 5,200,OK,Thread Group 1 1-3,text,true,,51511,134,5,5,http://192.168.184.134/very_low_5.txt,3,0,0
1762534012147,4,Request 1 Very_Low 5,200,OK,Thread Group 1 1-4,text,true,,51511,134,5,5,http://192.168.184.134/very_low_5.txt,4,0,0
1762534012266,30,Request 1 Very_Low 5,200,OK,Thread Group 1 1-2,text,true,,51511,134,5,5,http://192.168.184.134/very_low_5.txt,29,0,0
1762534012186,149,Request 6 High 1,200,OK,Thread Group 1 1-5,text,true,,4710715,130,5,5,http://192.168.184.134/high_1.txt,7,0,0
1762534012518,118,Request 7 Very_High 3,200,OK,Thread Group 1 1-1,text,true,,6861115,135,6,6,http://192.168.184.134/very_high_3.txt,7,0,0
1762534012559,121,Request 4 Medium 1,200,OK,Thread Group 1 1-6,text,true,,2867516,132,6,6,http://192.168.184.134/medium_1.txt,48,0,9
1762534012679,49,Request 5 Mid_High 4,200,OK,Thread Group 1 1-3,text,true,,3379515,134,6,6,http://192.168.184.134/mid_high_4.txt,6,0,0
1762534012799,49,Request 4 Medium 1,200,OK,Thread Group 1 1-4,text,true,,2867515,132,6,6,http://192.168.184.134/medium_1.txt,4,0,0
1762534012892,63,Request 3 Mid_Low 5,200,OK,Thread Group 1 1-2,text,true,,2304315,133,6,6,http://192.168.184.134/mid_low_5.txt,3,0,0
1762534012893,102,Request 6 High 1,200,OK,Thread Group 1 1-5,text,true,,4710715,130,6,6,http://192.168.184.134/high_1.txt,10,0,0
1762534013163,37,Request 3 Mid_Low 5,200,OK,Thread Group 1 1-1,text,true,,2304315,133,6,6,http://192.168.184.134/mid_low_5.txt,8,0,0
1762534013281,42,Request 3 Mid_Low 5,200,OK,Thread Group 1 1-6,text,true,,2304315,133,6,6,http://192.168.184.134/mid_low_5.txt,5,0,0
