timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762706413648,170,Request 2 Low 3,200,OK,Thread Group 1 1-1,text,true,,717114,129,1,1,http://192.168.184.134/low_3.txt,139,0,94
1762706413828,36,Request 2 Low 3,200,OK,Thread Group 1 1-1,text,true,,717113,129,1,1,http://192.168.184.134/low_3.txt,4,0,0
1762706413939,130,Request 4 Medium 1,200,OK,Thread Group 1 1-1,text,true,,2867515,132,1,1,http://192.168.184.134/medium_1.txt,4,0,0
1762706414072,82,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-1,text,true,,2097467,133,1,1,http://192.168.184.134/mid_low_1.txt,5,0,0
1762706414165,181,Request 4 Medium 1,200,OK,Thread Group 1 1-2,text,true,,2867516,132,2,2,http://192.168.184.134/medium_1.txt,6,0,2
1762706414193,183,Request 4 Medium 1,200,OK,Thread Group 1 1-1,text,true,,2867515,132,2,2,http://192.168.184.134/medium_1.txt,5,0,0
1762706414386,4,Request 1 Very_Low 2,200,OK,Thread Group 1 1-2,text,true,,20791,134,2,2,http://192.168.184.134/very_low_2.txt,3,0,0
1762706414541,77,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-1,text,true,,2097467,133,2,2,http://192.168.184.134/mid_low_1.txt,5,0,0
1762706414872,66,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-2,text,true,,2097467,133,2,2,http://192.168.184.134/mid_low_1.txt,3,0,0
1762706414948,96,Request 4 Medium 1,200,OK,Thread Group 1 1-1,text,true,,2867515,132,2,2,http://192.168.184.134/medium_1.txt,4,0,0
1762706415108,3,Request 1 Very_Low 2,200,OK,Thread Group 1 1-2,text,true,,20791,134,2,2,http://192.168.184.134/very_low_2.txt,3,0,0
1762706415161,179,Request 4 Medium 1,200,OK,Thread Group 1 1-3,text,true,,2867516,132,3,3,http://192.168.184.134/medium_1.txt,7,0,2
1762706415231,146,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-1,text,true,,2097467,133,3,3,http://192.168.184.134/mid_low_1.txt,7,0,0
1762706415472,203,Request 5 Mid_High 5,200,OK,Thread Group 1 1-2,text,true,,3481915,134,3,3,http://192.168.184.134/mid_high_5.txt,4,0,0
1762706415595,115,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-3,text,true,,2097467,133,3,3,http://192.168.184.134/mid_low_1.txt,4,0,0
