timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762709518560,260,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-1,text,true,,2097468,133,1,1,http://192.168.184.134/mid_low_1.txt,149,0,102
1762709518831,88,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-1,text,true,,2097467,133,1,1,http://192.168.184.134/mid_low_1.txt,4,0,0
1762709518922,86,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-1,text,true,,2097467,133,1,1,http://192.168.184.134/mid_low_1.txt,5,0,0
1762709519010,159,Request 4 Medium 1,200,OK,Thread Group 1 1-1,text,true,,2867515,132,2,2,http://192.168.184.134/medium_1.txt,4,0,0
1762709519075,165,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-2,text,true,,2097468,133,2,2,http://192.168.184.134/mid_low_1.txt,9,0,3
1762709519171,209,Request 4 Medium 1,200,OK,Thread Group 1 1-1,text,true,,2867515,132,2,2,http://192.168.184.134/medium_1.txt,20,0,0
1762709519259,180,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-2,text,true,,2097467,133,2,2,http://192.168.184.134/mid_low_1.txt,9,0,0
1762709519382,64,Request 2 Low 3,200,OK,Thread Group 1 1-1,text,true,,717113,129,2,2,http://192.168.184.134/low_3.txt,8,0,0
1762709519487,74,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-2,text,true,,2097467,133,2,2,http://192.168.184.134/mid_low_1.txt,4,0,0
1762709519726,69,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-1,text,true,,2097467,133,2,2,http://192.168.184.134/mid_low_1.txt,3,0,0
1762709519834,91,Request 4 Medium 1,200,OK,Thread Group 1 1-2,text,true,,2867515,132,2,2,http://192.168.184.134/medium_1.txt,3,0,0
1762709519958,69,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-1,text,true,,2097467,133,2,2,http://192.168.184.134/mid_low_1.txt,3,0,0
1762709520058,33,Request 2 Low 3,200,OK,Thread Group 1 1-2,text,true,,717113,129,3,3,http://192.168.184.134/low_3.txt,3,0,0
1762709520083,42,Request 2 Low 3,200,OK,Thread Group 1 1-3,text,true,,717114,129,3,3,http://192.168.184.134/low_3.txt,10,0,2
1762709520191,23,Request 2 Low 3,200,OK,Thread Group 1 1-1,text,true,,717113,129,3,3,http://192.168.184.134/low_3.txt,3,0,0
1762709520471,24,Request 2 Low 3,200,OK,Thread Group 1 1-2,text,true,,717113,129,3,3,http://192.168.184.134/low_3.txt,3,0,0
1762709520584,24,Request 2 Low 3,200,OK,Thread Group 1 1-3,text,true,,717113,129,3,3,http://192.168.184.134/low_3.txt,3,0,0
1762709520726,91,Request 4 Medium 1,200,OK,Thread Group 1 1-1,text,true,,2867515,132,3,3,http://192.168.184.134/medium_1.txt,3,0,0
1762709520844,92,Request 4 Medium 1,200,OK,Thread Group 1 1-2,text,true,,2867515,132,3,3,http://192.168.184.134/medium_1.txt,3,0,0
1762709521018,54,Request 2 Low 3,200,OK,Thread Group 1 1-1,text,true,,717113,129,4,4,http://192.168.184.134/low_3.txt,5,0,0
