procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0     12 107064  35960 554996    0    0     4     2   88    0  0  3 97  0  0  0
 0  0     12 107064  35960 555000    0    0     0     0  114   70  0  0 100  0  0  0
 0  0     12 107064  35960 555000    0    0     0     0   40   77  0  0 100  0  0  0
 0  0     12 107064  35960 555000    0    0     0     0   44   77  0  1 99  0  0  0
 0  0     12 107064  35960 555000    0    0     0     0   37   63  0  0 100  0  0  0
 0  0     12 107064  35960 555000    0    0     0     4   41   68  0  0 100  0  0  0
 0  0     12 107064  35968 555000    0    0     0    96   39   66  0  0 100  0  0  0
 0  0     12 107064  35968 555000    0    0     0     0   41   70  0  1 99  0  0  0
 0  0     12 107064  35968 555000    0    0     0     0   51   83  0  0 100  0  0  0
 0  0     12 107064  35968 555000    0    0     0     0   33   58  0  0 100  0  0  0
 0  0     12 107064  35968 555000    0    0     0     0   39   61  0  1 99  0  0  0
 0  0     12 107064  35968 555000    0    0     0     4   48   70  0  0 100  0  0  0
 0  0     12 107064  35976 555000    0    0     0    12   45   75  0  0 100  0  0  0
 0  0     12 107064  35976 555000    0    0     0     0   42   70  0  0 100  0  0  0
 0  0     12 107064  35976 555000    0    0     0     0   38   67  0  1 99  0  0  0
 0  0     12 107064  35976 555000    0    0     0     0   39   66  0  0 100  0  0  0
 0  0     12 107064  35976 555000    0    0     0     0   44   72  0  0 100  0  0  0
 2  0     12 148332  35976 555000    0    0     0     4  554  183  1 35 64  0  0  0
 2  0     12 148116  35984 555020    0    0     0    28  548  224  0 35 65  0  0  0
 0  0     12 148536  35984 555020    0    0     0     0  658  244  1 44 55  0  0  0
 0  0     12 147436  35984 555024    0    0     0     0  631  192  0 35 65  0  0  0
 0  0     12 147892  35984 555024    0    0     0     0  643  155  1 36 63  0  0  0
 0  0     12 148564  35984 555024    0    0     0     8  460  136  0 25 75  0  0  0
 1  0     12 147500  35992 555024    0    0     0   280  660  215  0 33 67  0  0  0
 0  0     12 147920  35992 555028    0    0     0     0  595  177  0 34 66  0  0  0
 0  0     12 147944  35992 555028    0    0     0     0  406  160  1 17 82  0  0  0
 0  0     12 147500  35992 555028    0    0     0     0  561  156  0 29 71  0  0  0
 1  0     12 147464  35992 555028    0    0     0     8  764  204  1 41 58  0  0  0
 1  0     12 147136  36000 555028    0    0     0    36  593  232  0 31 69  0  0  0
 1  0     12 147484  36000 555032    0    0     0     4  546  149  0 27 73  0  0  0
 1  0     12 147484  36000 555032    0    0     0     0  791  172  0 43 57  0  0  0
 0  0     12 147740  36000 555032    0    0     0     0  460  138  0 22 78  0  0  0
 1  0     12 148316  36000 555032    0    0     0     0  440  142  0 20 80  0  0  0
 0  0     12 148404  36008 555032    0    0     0    36  559  147  0 29 71  0  0  0
 1  0     12 147508  36008 555036    0    0     0     0  519  137  0 26 74  0  0  0
 0  0     12 147188  36008 555036    0    0     0     4  744  155  0 41 59  0  0  0
 0  0     12 147920  36008 555036    0    0     0     0  485  161  1 23 76  0  0  0
 1  0     12 148528  36008 555036    0    0     0     0  726  150  0 39 61  0  0  0
 1  0     12 148292  36016 555040    0    0     0    24  805  186  0 44 56  0  0  0
 0  0     12 148360  36016 555040    0    0     0     0  420  135  0 20 80  0  0  0
 0  0     12 148516  36016 555040    0    0     0     0  641  153  0 35 65  0  0  0
 0  0     12 148548  36016 555040    0    0     0     4  727  156  0 42 58  0  0  0
 1  0     12 147908  36016 555040    0    0     0     0  643  177  0 32 68  0  0  0
 0  0     12 147384  36024 555044    0    0     0    40  436  154  0 20 80  0  0  0
 0  0     12 147452  36024 555044    0    0     0    80  508  160  1 25 74  0  0  0
 1  0     12 147480  36024 555044    0    0     0     0  632  164  0 30 70  0  0  0
 1  0     12 147896  36024 555044    0    0     0     0  484  133  0 24 76  0  0  0
 1  0     12 147824  36024 555052    0    0     0     8  622  158  1 32 67  0  0  0
 0  0     12 148520  36032 555052    0    0     0    44  621  172  0 33 67  0  0  0
 0  0     12 148360  36032 555052    0    0     0     0  320  143  0 13 87  0  0  0
 0  0     12 147688  36032 555052    0    0     0     0  445  142  0 20 80  0  0  0
 0  0     12 148328  36032 555052    0    0     0     0  575  133  0 29 71  0  0  0
 1  0     12 147812  36032 555056    0    0     0     0  632  157  0 32 68  0  0  0
 0  0     12 147436  36040 555056    0    0     0    40  458  172  1 21 78  0  0  0
 0  0     12 147868  36040 555056    0    0     0     0  416  147  0 19 81  0  0  0
 1  0     12 147580  36040 555056    0    0     0     0  797  161  0 44 56  0  0  0
 1  0     12 147580  36040 555060    0    0     0     0  599  144  0 29 71  0  0  0
 0  0     12 148344  36040 555060    0    0     0     0  485  148  0 24 76  0  0  0
 0  0     12 148340  36048 555060    0    0     0    28  629  168  0 31 69  0  0  0
 0  0     12 147664  36048 555060    0    0     0    20  515  152  0 25 75  0  0  0
 1  0     12 148336  36048 555060    0    0     0     0  418  135  1 19 80  0  0  0
 0  0     12 147156  36048 555064    0    0     0     0  408  147  0 18 82  0  0  0
 0  0     12 147436  36048 555064    0    0     0     0  511  127  0 25 75  0  0  0
 0  0     12 148300  36048 555064    0    0     0     0  557  146  0 28 72  0  0  0
 0  0     12 148292  36056 555064    0    0     0    36  732  185  0 38 62  0  0  0
 0  0     12 147776  36056 555068    0    0     0     4  532  144  1 24 74  0  0  0
 0  0     12 148320  36056 555068    0    0     0     0  455  130  0 22 78  0  0  0
 0  0     12 148288  36056 555068    0    0     0     0  568  134  1 28 71  0  0  0
 2  0     12 148288  36056 555068    0    0     0     0  432  144  0 19 81  0  0  0
 1  0     12 148216  36064 555068    0    0     0    36  642  160  0 33 67  0  0  0
 0  0     12 147408  36064 555072    0    0     0     0  762  165  0 42 58  0  0  0
 2  0     12 147348  36064 555072    0    0     0     4  645  144  0 33 67  0  0  0
 0  0     12 147788  36064 555072    0    0     0     0  551  152  1 26 73  0  0  0
 1  0     12 147380  36064 555072    0    0     0     0  711  155  0 38 62  0  0  0
 1  0     12 147976  36072 555076    0    0     0    40  475  147  0 23 77  0  0  0
 0  0     12 147368  36072 555076    0    0     0     0  380  156  1 15 84  0  0  0
 1  0     12 147368  36072 555076    0    0     0     0  562  139  0 27 73  0  0  0
 0  0     12 147624  36072 555076    0    0     0     4  576  133  0 30 70  0  0  0
 0  0     12 147368  36072 555076    0    0     0     0  472  140  0 21 79  0  0  0
 1  0     12 147388  36080 555080    0    0     0    28  833  176  1 49 50  0  0  0
 0  0     12 148412  36080 555080    0    0     0     8  594  176  0 29 71  0  0  0
 0  0     12 148256  36080 555080    0    0     0     0  401  146  0 18 82  0  0  0
 0  0     12 147612  36080 555080    0    0     0     0  361  134  1 16 83  0  0  0
 1  0     12 148184  36080 555084    0    0     0     4  532  154  0 25 75  0  0  0
 1  0     12 147136  36088 555084    0    0     0    28  624  159  0 32 68  0  0  0
