procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0     12 140816  15256 584740    0    0    92    33  368    1  1 17 82  0  0  0
 0  0     12 140816  15256 584744    0    0     0     0  144   71  0  0 100  0  0  0
 0  0     12 140816  15256 584744    0    0     0     0   50   64  0  1 99  0  0  0
 0  0     12 140816  15256 584744    0    0     0     0   43   68  0  0 100  0  0  0
 0  0     12 140816  15256 584744    0    0     0     0   35   61  0  0 100  0  0  0
 0  0     12 140816  15256 584744    0    0     0     0   45   74  0  0 100  0  0  0
 0  0     12 140816  15264 584744    0    0     0    92   47   82  1  0 99  0  0  0
 0  0     12 140816  15264 584744    0    0     0     0   42   69  0  1 99  0  0  0
 0  0     12 140816  15264 584744    0    0     0     0   33   62  0  0 100  0  0  0
 0  0     12 140816  15264 584744    0    0     0     0   49   77  0  0 100  0  0  0
 0  0     12 140816  15264 584744    0    0     0     0   29   55  0  0 100  0  0  0
 1  0     12 140816  15264 584744    0    0     0     0   41   70  0  1 99  0  0  0
 0  0     12 140816  15272 584744    0    0     0    24   44   70  0  0 100  0  0  0
 0  0     12 140816  15272 584744    0    0     0     0   44   76  0  0 100  0  0  0
 0  0     12 140816  15272 584744    0    0     0     0   40   69  0  1 99  0  0  0
 0  0     12 140816  15272 584744    0    0     0     0   42   66  0  0 100  0  0  0
 3  0     12 140816  15396 584748    0    0   120     0  698  175  1 48 51  0  0  0
 0  0     12 141400  15396 584752    0    0     0     0  811  426  0 57 43  0  0  0
 4  0     12 139768  15404 584752    0    0     0    32  905  395  1 60 39  0  0  0
 4  0     12 139928  15404 584752    0    0     0     0 1313  688  0 100  0  0  0  0
 1  0     12 141100  15404 584752    0    0     0     0 1216  481  0 90 10  0  0  0
 6  0     12 138908  15404 584756    0    0     0    12 1038  373  1 78 21  0  0  0
 8  0     12 138520  15404 584756    0    0     0     0 1331  635  0 100  0  0  0  0
 5  0     12 139948  15412 584756    0    0     0    28 1135  546  0 82 18  0  0  0
 2  0     12 140024  15412 584756    0    0     0     4 1119  378  0 77 23  0  0  0
 2  0     12 140820  15412 584760    0    0     0     0  953  328  1 61 38  0  0  0
 3  0     12 138764  15412 584760    0    0     0     0 1381  592  0 100  0  0  0  0
 7  0     12 139504  15412 584760    0    0     0     8 1329  624  0 100  0  0  0  0
 5  0     12 139316  15420 584764    0    0     0    28 1394  666  0 100  0  0  0  0
 3  0     12 140388  15420 584764    0    0     0     0 1331  454  1 85 14  0  0  0
 4  0     12 139644  15420 584764    0    0     0     4 1378  550  0 100  0  0  0  0
 2  0     12 141072  15420 584764    0    0     0     0  994  324  0 63 38  0  0  0
 1  0     12 140852  15420 584768    0    0     0    12 1100  420  1 71 27  0  0  0
 2  0     12 140216  15428 584768    0    0     0    28 1359  399  0 93  7  0  0  0
 1  0     12 140808  15428 584768    0    0     0     0 1381  576  0 97  3  0  0  0
 1  0     12 140832  15428 584772    0    0     0     0 1304  404  0 93  7  0  0  0
 2  0     12 140132  15428 584772    0    0     0   104  711  159  1 38 61  0  0  0
 2  0     12 139864  15428 584772    0    0     0     8 1292  374  0 87 13  0  0  0
 4  0     12 138000  15436 584772    0    0     0    28 1190  331  0 79 21  0  0  0
 3  0     12 140000  15436 584776    0    0     0     0 1373  577  0 100  0  0  0  0
 8  0     12 136500  15436 584776    0    0     0     0 1389  611  0 100  0  0  0  0
 9  0     12 137108  15436 584776    0    0     0     0 1340  673  1 99  0  0  0  0
 6  0     12 139184  15436 584776    0    0     0    12 1343  693  0 100  0  0  0  0
10  0     12 135928  15444 584780    0    0     0    28 1305  657  0 100  0  0  0  0
 0  0     12 141000  15444 584780    0    0     0     0 1213  612  1 86 13  0  0  0
