procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 489664  15620 240940    0    0    67    13  440    1  1 23 76  0  0  0
 0  0      0 489664  15620 240944    0    0     0     0   94   73  0  0 100  0  0  0
 0  0      0 489664  15620 240944    0    0     0     0   43   70  0  0 100  0  0  0
 0  0      0 489664  15620 240944    0    0     0     0   39   67  0  0 100  0  0  0
 0  0      0 489664  15620 240944    0    0     0     0   41   66  0  1 99  0  0  0
 0  0      0 489664  15620 240944    0    0     0     0   35   65  0  0 100  0  0  0
 0  0      0 489664  15628 240944    0    0     0    36   46   77  0  0 100  0  0  0
 0  0      0 489664  15628 240944    0    0     0     0   44   74  0  0 100  0  0  0
 0  0      0 489664  15628 240944    0    0     0     0   37   61  0  1 99  0  0  0
 0  0      0 489664  15628 240944    0    0     0     0   48   74  0  0 100  0  0  0
 0  0      0 489664  15628 240944    0    0     0     0   36   62  0  0 100  0  0  0
 0  0      0 489664  15628 240944    0    0     0     0   45   74  0  1 99  0  0  0
 0  0      0 489664  15636 240944    0    0     0    24   46   73  0  0 100  0  0  0
 0  0      0 489664  15636 240944    0    0     0     0   44   72  0  0 100  0  0  0
 0  0      0 489664  15636 240944    0    0     0     0   32   58  0  0 100  0  0  0
 0  0      0 489664  15636 240944    0    0     0     0   45   68  1  1 98  0  0  0
 2  0      0 489768  15636 240944    0    0     0     0  979  257  0 72 28  0  0  0
 2  0      0 489184  15636 240944    0    0     0     0 1186  366  1 91  7  0  0  0
 2  0      0 490088  15644 240944    0    0     0    20  815  239  0 49 51  0  0  0
 5  0      0 488512  15644 240948    0    0     0     0 1041  365  0 68 32  0  0  0
 3  0      0 489904  15644 240948    0    0     0     0 1317  570  0 100  0  0  0  0
 2  0      0 489560  15644 240948    0    0     0     8 1301  632  1 99  0  0  0  0
 0  0      0 490300  15644 240952    0    0     0     0 1217  586  0 86 14  0  0  0
 0  0      0 490292  15652 240952    0    0     0    28  872  356  0 55 45  0  0  0
 2  0      0 488532  15652 240952    0    0     0     4  805  235  1 47 52  0  0  0
 2  0      0 490192  15652 240952    0    0     0     0  643  203  0 36 64  0  0  0
 1  0      0 490032  15652 240956    0    0     0    12 1134  461  1 74 24  0  0  0
 2  0      0 489544  15652 240956    0    0     0     0  839  200  0 52 48  0  0  0
 1  0      0 489832  15660 240956    0    0     0    28  806  255  0 51 49  0  0  0
