procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0     12  65496  21336 632748    0    0    14    11  117    0  0  5 95  0  0  0
 0  0     12  65496  21336 632752    0    0     0     0   89   67  0  1 99  0  0  0
 0  0     12  65496  21336 632752    0    0     0     0   38   68  0  0 100  0  0  0
 0  0     12  65496  21336 632752    0    0     0     0   38   62  0  0 100  0  0  0
 0  0     12  65496  21336 632752    0    0     0     0   53   86  0  1 99  0  0  0
 0  0     12  65496  21336 632752    0    0     0     0   48   70  0  0 100  0  0  0
 0  0     12  65496  21344 632756    0    0     0    32   50   83  0  1 99  0  0  0
 0  0     12  65496  21344 632756    0    0     0     0   32   59  0  0 100  0  0  0
 0  0     12  65496  21344 632756    0    0     0     0   37   66  0  0 100  0  0  0
 0  0     12  65496  21344 632756    0    0     0     0   39   69  0  0 100  0  0  0
 0  0     12  65496  21344 632756    0    0     0     0   41   66  0  1 99  0  0  0
 0  0     12  65496  21352 632748    0    0     0    20   39   75  0  0 100  0  0  0
 1  0     12  62808  21352 632756    0    0     0     4  623  272  3 22 74  0  0  0
 0  0     12  62584  21352 632760    0    0     0     0  457  230  0 16 84  0  0  0
 0  0     12  62584  21352 632760    0    0     0     0  459  257  1 16 83  0  0  0
 0  0     12  62584  21352 632760    0    0     0     0  408  203  0 11 89  0  0  0
 0  0     12  78236  21352 632760    0    0     0     0  424  232  1  9 90  0  0  0
 0  0     12  77116  21360 632764    0    0     0    28  429  238  0 10 90  0  0  0
 0  0     12  76892  21360 632764    0    0     0     4  574  266  0 16 84  0  0  0
 0  0     12  76892  21360 632764    0    0     0     0  390  194  1 10 89  0  0  0
 0  0     12  83808  21360 632768    0    0     0     0  449  220  0  9 91  0  0  0
 2  0     12  83136  21368 632760    0    0     0    32  403  188  0  6 94  0  0  0
 0  0     12  83136  21368 632768    0    0     0     8  421  225  0 11 89  0  0  0
 0  0     12  83136  21368 632768    0    0     0     0  463  213  1 11 88  0  0  0
 0  0     12  83136  21368 632772    0    0     0     4  456  217  0  9 91  0  0  0
 0  0     12  83136  21368 632772    0    0     0     0  512  248  0 10 90  0  0  0
 0  0     12  83136  21368 632772    0    0     0     0  353  184  0  7 93  0  0  0
 0  0     12  83136  21376 632776    0    0     0    36  367  192  1  5 93  0  0  0
 0  0     12  83136  21376 632776    0    0     0     0  347  185  0  9 91  0  0  0
 1  0     12  83136  21376 632776    0    0     0     0  437  194  0  8 92  0  0  0
 0  0     12  83136  21376 632776    0    0     0     4  369  187  0  7 93  0  0  0
 0  0     12  83136  21376 632776    0    0     0     0  430  179  0 10 90  0  0  0
