timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762617455312,348,Request 6 High 1,200,OK,Thread Group 1 1-1,text,true,,4710716,130,1,1,http://192.168.184.134/high_1.txt,137,0,90
1762617455681,170,Request 6 High 1,200,OK,Thread Group 1 1-1,text,true,,4710715,130,1,1,http://192.168.184.134/high_1.txt,5,0,0
1762617455854,67,Request 2 Low 3,200,OK,Thread Group 1 1-1,text,true,,717113,129,2,2,http://192.168.184.134/low_3.txt,4,0,0
1762617455865,207,Request 6 High 1,200,OK,Thread Group 1 1-2,text,true,,4710716,130,2,2,http://192.168.184.134/high_1.txt,10,0,3
1762617456090,46,Request 2 Low 3,200,OK,Thread Group 1 1-1,text,true,,717113,129,2,2,http://192.168.184.134/low_3.txt,3,0,0
1762617456091,49,Request 2 Low 3,200,OK,Thread Group 1 1-2,text,true,,717113,129,2,2,http://192.168.184.134/low_3.txt,5,0,0
1762617456400,108,Request 4 Medium 1,200,OK,Thread Group 1 1-1,text,true,,2867515,132,2,2,http://192.168.184.134/medium_1.txt,4,0,0
1762617456553,95,Request 4 Medium 1,200,OK,Thread Group 1 1-2,text,true,,2867515,132,2,2,http://192.168.184.134/medium_1.txt,4,0,0
1762617456644,155,Request 6 High 1,200,OK,Thread Group 1 1-1,text,true,,4710715,130,2,2,http://192.168.184.134/high_1.txt,3,0,0
1762617456807,332,Request 6 High 1,200,OK,Thread Group 1 1-2,text,true,,4710715,130,3,3,http://192.168.184.134/high_1.txt,4,0,0
1762617456897,399,Request 5 Mid_High 5,200,OK,Thread Group 1 1-1,text,true,,3481915,134,3,3,http://192.168.184.134/mid_high_5.txt,8,0,0
1762617456862,443,Request 6 High 1,200,OK,Thread Group 1 1-3,text,true,,4710716,130,3,3,http://192.168.184.134/high_1.txt,10,0,3
1762617457307,72,Request 2 Low 3,200,OK,Thread Group 1 1-3,text,true,,717113,129,3,3,http://192.168.184.134/low_3.txt,8,0,0
1762617457141,257,Request 4 Medium 1,200,OK,Thread Group 1 1-2,text,true,,2867515,132,3,3,http://192.168.184.134/medium_1.txt,7,0,0
1762617457298,151,Request 4 Medium 1,200,OK,Thread Group 1 1-1,text,true,,2867515,132,3,3,http://192.168.184.134/medium_1.txt,5,0,0
1762617457695,25,Request 2 Low 3,200,OK,Thread Group 1 1-2,text,true,,717113,129,3,3,http://192.168.184.134/low_3.txt,4,0,0
1762617457729,90,Request 4 Medium 1,200,OK,Thread Group 1 1-3,text,true,,2867515,132,3,3,http://192.168.184.134/medium_1.txt,3,0,0
1762617457855,103,Request 4 Medium 1,200,OK,Thread Group 1 1-4,text,true,,2867516,132,4,4,http://192.168.184.134/medium_1.txt,6,0,2
