timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762620427736,279,Request 5 Mid_High 5,200,OK,Thread Group 1 1-1,text,true,,3481916,134,1,1,http://192.168.184.134/mid_high_5.txt,144,0,91
1762620428027,76,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-1,text,true,,2097467,133,1,1,http://192.168.184.134/mid_low_1.txt,4,0,0
1762620428106,128,Request 5 Mid_High 5,200,OK,Thread Group 1 1-1,text,true,,3481915,134,1,1,http://192.168.184.134/mid_high_5.txt,3,0,0
1762620428282,268,Request 4 Medium 1,200,OK,Thread Group 1 1-2,text,true,,2867516,132,2,2,http://192.168.184.134/medium_1.txt,12,0,5
1762620428236,325,Request 6 High 1,200,OK,Thread Group 1 1-1,text,true,,4710715,130,2,2,http://192.168.184.134/high_1.txt,3,0,0
1762620428565,218,Request 4 Medium 1,200,OK,Thread Group 1 1-1,text,true,,2867515,132,2,2,http://192.168.184.134/medium_1.txt,10,0,0
1762620428565,223,Request 4 Medium 1,200,OK,Thread Group 1 1-2,text,true,,2867515,132,2,2,http://192.168.184.134/medium_1.txt,4,0,0
1762620428786,311,Request 6 High 1,200,OK,Thread Group 1 1-1,text,true,,4710715,130,2,2,http://192.168.184.134/high_1.txt,3,0,0
1762620428791,308,Request 6 High 1,200,OK,Thread Group 1 1-2,text,true,,4710715,130,2,2,http://192.168.184.134/high_1.txt,5,0,0
1762620429099,178,Request 4 Medium 1,200,OK,Thread Group 1 1-1,text,true,,2867515,132,3,3,http://192.168.184.134/medium_1.txt,3,0,0
1762620429100,179,Request 4 Medium 1,200,OK,Thread Group 1 1-2,text,true,,2867515,132,3,3,http://192.168.184.134/medium_1.txt,5,0,0
1762620429279,136,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-1,text,true,,2097467,133,3,3,http://192.168.184.134/mid_low_1.txt,5,0,0
1762620429398,132,Request 3 Mid_Low 1,200,OK,Thread Group 1 1-2,text,true,,2097467,133,3,3,http://192.168.184.134/mid_low_1.txt,5,0,0
1762620429277,291,Request 6 High 1,200,OK,Thread Group 1 1-3,text,true,,4710716,130,3,3,http://192.168.184.134/high_1.txt,6,0,3
