procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0     12 103272  21608 615296    0    0    24    10  229    1  0 10 89  0  0  0
 0  0     12 103272  21608 615300    0    0     0     0  111   71  0  0 100  0  0  0
 0  0     12 103272  21608 615300    0    0     0     0   52   87  0  1 99  0  0  0
 0  0     12 103272  21608 615300    0    0     0     0   38   70  0  0 100  0  0  0
 0  0     12 103272  21608 615300    0    0     0     0   43   70  0  0 100  0  0  0
 0  0     12 103272  21608 615300    0    0     0     0   37   64  0  0 100  0  0  0
 0  0     12 103272  21616 615300    0    0     0    32   50   78  0  1 99  0  0  0
 0  0     12 103272  21616 615300    0    0     0     0   43   70  0  0 100  0  0  0
 0  0     12 103272  21616 615300    0    0     0     0   41   75  0  0 100  0  0  0
 0  0     12 103272  21616 615300    0    0     0    16   39   61  0  0 100  0  0  0
 0  0     12 103272  21616 615300    0    0     0     0   43   68  0  1 99  0  0  0
 0  0     12 103272  21624 615292    0    0     0    24   43   78  0  0 100  0  0  0
 0  0     12 103272  21624 615300    0    0     0     4   49   72  0  1 99  0  0  0
 0  0     12 103272  21624 615300    0    0     0     0   43   72  0  0 100  0  0  0
 0  0     12 103272  21624 615300    0    0     0     0   40   68  0  0 100  0  0  0
 1  0     12 103048  21624 615300    0    0     0     0   59   74  0  2 98  0  0  0
 2  0     12 102884  21624 615300    0    0     0     0 1026  278  0 87 13  0  0  0
 1  0     12 103620  21632 615300    0    0     0    16 1180  528  0 97  3  0  0  0
 1  0     12 102908  21632 615304    0    0     0     4 1187  486  1 93  6  0  0  0
 2  0     12 103808  21632 615304    0    0     0     0  831  241  0 53 47  0  0  0
 0  0     12 103804  21632 615304    0    0     0     0 1138  391  1 76 23  0  0  0
 2  0     12 102812  21632 615304    0    0     0     8 1194  370  0 79 21  0  0  0
 1  0     12 103804  21640 615304    0    0     0    28 1354  554  0 100  0  0  0  0
 0  0     12 104020  21640 615308    0    0     0     0 1049  274  0 71 29  0  0  0
 0  0     12 103856  21640 615308    0    0     0     4 1061  232  0 67 33  0  0  0
 1  0     12 102588  21640 615312    0    0     0     0 1076  249  1 68 31  0  0  0
 1  0     12 103372  21640 615312    0    0     0    12 1019  229  0 63 37  0  0  0
 2  0     12 103816  21648 615312    0    0     0    28 1083  252  0 68 32  0  0  0
 1  0     12 102888  21648 615312    0    0     0     0 1138  275  1 70 29  0  0  0
 0  0     12 103588  21648 615316    0    0     0     0 1116  245  0 72 28  0  0  0
 0  0     12 103012  21648 615316    0    0     0     4 1089  270  0 65 35  0  0  0
 0  0     12 103972  21648 615316    0    0     0     8 1085  229  0 66 34  0  0  0
 1  0     12 102844  21656 615316    0    0     0    28 1211  289  1 73 25  0  0  0
 1  0     12 103036  21656 615320    0    0     0     0 1238  365  0 82 18  0  0  0
 3  0     12 103344  21656 615320    0    0     0     0  900  198  0 50 50  0  0  0
 2  0     12 102872  21656 615320    0    0     0     0  928  245  0 55 45  0  0  0
 2  0     12 103212  21656 615320    0    0     0    12 1168  266  0 80 20  0  0  0
 2  0     12 102828  21664 615316    0    0     0    28 1071  240  1 63 36  0  0  0
 2  0     12 103752  21664 615324    0    0     0     0 1198  303  0 77 23  0  0  0
 3  0     12 101800  21664 615324    0    0     0     0 1056  228  0 62 38  0  0  0
 0  0     12 103720  21664 615324    0    0     0     0 1118  287  1 69 30  0  0  0
 1  0     12 103112  21664 615328    0    0     0     0 1357  318  0 88 12  0  0  0
 3  0     12 102832  21672 615320    0    0     0    52  731  174  0 60 40  0  0  0
 1  0     12 103676  21672 615332    0    0     0     0 1331  420  0 90 10  0  0  0
 3  0     12 102020  21672 615336    0    0     0     0 1409  537  1 99  0  0  0  0
 6  0     12 101976  21672 615336    0    0     0     0 1130  279  0 73 27  0  0  0
 0  0     12 103992  21672 615336    0    0     0     0 1181  439  0 84 16  0  0  0
 5  0     12 101224  21672 615344    0    0     0     8 1159  427  1 75 23  0  0  0
 2  0     12 102428  21680 615348    0    0     0    36 1026  363  0 65 35  0  0  0
