r;b;swpd;free;buff;cache;si;so;bi;bo;in;cs;us;sy;id;wa;st;gu
0;0;12;73488;27808;636384;0;0;10;8;130;0;0;4;95;0;0;0
0;0;12;73488;27808;636388;0;0;0;0;141;73;0;0;100;0;0;0
0;0;12;73488;27808;636388;0;0;0;0;38;64;0;0;100;0;0;0
0;0;12;73488;27808;636388;0;0;0;0;40;69;0;0;100;0;0;0
0;0;12;73488;27808;636388;0;0;0;0;38;56;0;2;98;0;0;0
0;0;12;73488;27808;636388;0;0;0;0;56;79;0;1;99;0;0;0
0;0;12;73488;27816;636388;0;0;0;32;40;69;0;0;100;0;0;0
0;0;12;73488;27816;636388;0;0;0;0;52;84;1;0;99;0;0;0
0;0;12;73488;27816;636388;0;0;0;0;32;60;0;0;100;0;0;0
0;0;12;73488;27816;636388;0;0;0;0;39;64;0;0;100;0;0;0
0;0;12;73488;27816;636388;0;0;0;0;28;53;0;0;100;0;0;0
0;0;12;73488;27824;636388;0;0;0;20;51;89;0;1;99;0;0;0
0;0;12;73488;27824;636388;0;0;0;4;52;82;0;0;100;0;0;0
0;0;12;73488;27824;636388;0;0;0;0;40;68;0;0;100;0;0;0
2;0;12;76544;27824;636392;0;0;0;0;568;160;0;41;59;0;0;0
2;0;12;75256;27824;636392;0;0;0;0;1157;388;0;98;2;0;0;0
4;0;12;76268;27824;636392;0;0;0;0;1244;455;1;99;0;0;0;0
5;0;12;74544;27832;636396;0;0;0;16;1231;643;0;100;0;0;0;0
6;0;12;74060;27832;636400;0;0;0;4;1293;674;1;99;0;0;0;0
5;0;12;74200;27832;636400;0;0;0;0;1277;710;0;100;0;0;0;0
5;0;12;73328;27832;636400;0;0;0;12;1245;592;0;96;4;0;0;0
8;0;12;73568;27832;636400;0;0;0;0;1312;644;0;100;0;0;0;0
6;0;12;74916;27840;636404;0;0;0;32;1279;654;1;99;0;0;0;0
2;0;12;75532;27840;636404;0;0;0;0;1263;499;0;91;9;0;0;0
1;0;12;76648;27840;636404;0;0;0;4;943;275;0;62;38;0;0;0
1;0;12;75972;27840;636408;0;0;0;12;993;325;0;63;37;0;0;0
4;0;12;75916;27840;636408;0;0;0;0;1083;314;0;73;27;0;0;0
4;0;12;74656;27848;636408;0;0;0;28;1382;476;1;99;0;0;0;0
5;0;12;75828;27848;636408;0;0;0;0;1354;599;0;100;0;0;0;0
0;12;72412;27848;636412;0;0;0;0;1286;647;1;99;0;0;0;0;
0;12;70008;27848;636412;0;0;0;12;1318;656;0;100;0;0;0;0;
