procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 467492  13656 255812    0    0   989   109  282    4  6 15 77  2  0  0
 0  0      0 467492  13656 255816    0    0     0     0   35   58  0  0 100  0  0  0
 0  0      0 467492  13656 255816    0    0     0     0  111   95  0  1 99  0  0  0
 0  0      0 467492  13656 255816    0    0     0     0   33   63  0  1 99  0  0  0
 0  0      0 467492  13656 255816    0    0     0     0   42   70  0  0 100  0  0  0
 0  0      0 467492  13656 255816    0    0     0     0   30   57  0  0 100  0  0  0
 0  0      0 467492  13664 255816    0    0     0    32   45   74  0  0 100  0  0  0
 0  0      0 467492  13664 255816    0    0     0     0   33   57  0  0 100  0  0  0
 0  0      0 467492  13664 255816    0    0     0     0   34   57  0  0 100  0  0  0
 0  0      0 467492  13664 255816    0    0     0     0   45   72  0  1 99  0  0  0
 0  0      0 467492  13664 255816    0    0     0     0   40   69  0  0 100  0  0  0
 0  0      0 467492  13664 255816    0    0     0     0   39   65  0  0 100  0  0  0
 0  0      0 467492  13672 255816    0    0     0    28   52   78  0  1 99  0  0  0
 0  0      0 467268  13680 255808    0    0    12     0   68   86  0  1 69 30  0  0
 0  0      0 467044  13680 255844    0    0     0     0  141  161  1  1 98  0  0  0
 0  0      0 466820  13680 255844    0    0     0     0  140  156  0  3 97  0  0  0
 0  0      0 466596  13680 255848    0    0     0     0  127  135  0  1 99  0  0  0
 0  0      0 466596  13680 255848    0    0     0     0  145  145  0  1 99  0  0  0
 0  0      0 466372  13688 255848    0    0     0    24  142  151  1  1 98  0  0  0
 0  0      0 466372  13688 255848    0    0     0     8  142  141  0  1 99  0  0  0
 0  0      0 466148  13688 255852    0    0     0     0  147  148  0  2 98  0  0  0
 0  0      0 465924  13688 255852    0    0     0     0  151  157  0  1 99  0  0  0
 0  0      0 465924  13688 255852    0    0     0     0  136  149  0  1 99  0  0  0
 0  0      0 465700  13696 255856    0    0     0    28  142  157  1  3 96  0  0  0
 0  0      0 465700  13696 255856    0    0     0    16  141  135  0  1 99  0  0  0
 0  0      0 465700  13696 255856    0    0     0     0  135  133  0  1 99  0  0  0
 0  0      0 465700  13696 255860    0    0     0     0  143  144  0  1 99  0  0  0
 0  0      0 465700  13696 255860    0    0     0     0  139  130  1  2 97  0  0  0
 1  0      0 465700  13704 255860    0    0     0    28  114  122  0  2 98  0  0  0
 1  0      0 465700  13704 255860    0    0     0     8  152  145  0  1 99  0  0  0
 1  0      0 465700  13704 255864    0    0     0     4  137  133  0  1 99  0  0  0
 1  0      0 465700  13704 255864    0    0     0     0  130  122  0  1 99  0  0  0
