procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 441284  16172 288628    0    0    45     8  381    1  0 20 80  0  0  0
 0  0      0 441284  16172 288632    0    0     0     0   85   68  0  0 100  0  0  0
 0  0      0 441284  16172 288632    0    0     0     0   36   65  0  0 100  0  0  0
 0  0      0 441284  16172 288632    0    0     0     4   44   70  0  0 100  0  0  0
 0  0      0 441284  16172 288632    0    0     0     8   57   81  0  1 99  0  0  0
 0  0      0 441284  16172 288632    0    0     0     0   35   63  0  0 100  0  0  0
 0  0      0 441284  16180 288632    0    0     0    36   42   69  0  0 100  0  0  0
 0  0      0 441284  16180 288632    0    0     0     0   38   69  0  1 99  0  0  0
 0  0      0 441284  16180 288632    0    0     0     0   44   66  0  0 100  0  0  0
 0  0      0 441284  16180 288632    0    0     0     4   52   74  0  0 100  0  0  0
 0  0      0 441284  16180 288632    0    0     0     0   47   62  0  1 99  0  0  0
 0  0      0 441284  16180 288632    0    0     0    24   48   67  0  0 100  0  0  0
 0  0      0 441284  16188 288632    0    0     0    12   42   70  0  1 99  0  0  0
 0  0      0 441284  16188 288632    0    0     0     0   56   79  1  1 98  0  0  0
 0  0      0 441284  16188 288632    0    0     0     0   36   57  0  0 100  0  0  0
 0  0      0 441284  16188 288632    0    0     0     4   48   75  0  0 100  0  0  0
 3  0      0 441564  16188 288632    0    0     0     0  510  138  0 32 68  0  0  0
 2  0      0 441500  16188 288632    0    0     0     0  987  353  1 76 23  0  0  0
 2  0      0 441620  16196 288632    0    0     0    16 1046  380  0 74 26  0  0  0
 1  0      0 441336  16196 288636    0    0     0     0  684  233  1 40 59  0  0  0
 1  0      0 441624  16196 288636    0    0     0     0  514  178  0 27 73  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 440876  16196 288636    0    0     0    12  951  260  0 63 38  0  0  0
 1  0      0 441364  16196 288640    0    0     0     0 1070  379  0 68 32  0  0  0
 2  0      0 441196  16204 288640    0    0     0    48  802  233  0 47 53  0  0  0
 0  0      0 441872  16204 288640    0    0     0     0  953  277  1 58 41  0  0  0
 3  0      0 439272  16204 288640    0    0     0     0 1198  262  0 77 23  0  0  0
 4  0      0 439568  16204 288644    0    0     0     0 1024  366  0 65 35  0  0  0
 7  0      0 439172  16204 288644    0    0     0    16 1254  460  0 85 15  0  0  0
 0  0      0 441664  16212 288644    0    0     0    28 1226  492  0 85 15  0  0  0
 1  0      0 441852  16212 288648    0    0     0     0  515  191  1 27 72  0  0  0
 1  0      0 441816  16212 288648    0    0     0     0  572  161  0 30 70  0  0  0
 0  0      0 440760  16212 288648    0    0     0     0 1166  332  0 73 27  0  0  0
 1  0      0 440924  16212 288648    0    0     0     8  854  318  0 50 50  0  0  0
 4  0      0 440288  16220 288652    0    0     0    48 1167  408  0 77 23  0  0  0
 5  0      0 440444  16220 288652    0    0     0     0 1146  306  1 70 29  0  0  0
 1  0      0 441136  16220 288652    0    0     0     0 1313  485  0 92  8  0  0  0
 6  0      0 439280  16220 288652    0    0     0     0 1163  399  0 74 26  0  0  0
 3  0      0 439144  16220 288656    0    0     0     0 1149  301  1 73 25  0  0  0
 1  0      0 441152  16228 288656    0    0     0    40 1385  584  0 100  0  0  0  0
 5  0      0 439524  16228 288656    0    0     0     4  931  246  0 55 45  0  0  0
 0  0      0 441792  16228 288660    0    0     0     0  949  324  0 60 40  0  0  0
 4  0      0 439620  16228 288660    0    0     0     0 1045  287  1 63 36  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 441484  16228 288660    0    0     0     0 1402  617  0 100  0  0  0  0
 2  0      0 440968  16236 288664    0    0     0    40 1360  623  1 99  0  0  0  0
 0  0      0 441616  16236 288668    0    0     0     0  777  216  0 45 55  0  0  0
 5  0      0 438828  16236 288668    0    0     0     8 1353  581  0 94  6  0  0  0
 2  0      0 440420  16236 288668    0    0     0     0  897  381  1 53 46  0  0  0
 1  0      0 441552  16236 288672    0    0     0     0  429  136  0 22 78  0  0  0
 0  0      0 441796  16244 288672    0    0     0    44  747  252  1 46 53  0  0  0
 2  0      0 440100  16244 288672    0    0     0     0  997  281  0 65 35  0  0  0
 0  0      0 442016  16244 288672    0    0     0     0 1034  297  1 63 36  0  0  0
 3  0      0 440336  16244 288676    0    0     0     4 1030  243  0 63 37  0  0  0
 0  0      0 441796  16244 288676    0    0     0     0  899  308  0 53 47  0  0  0
 1  0      0 440764  16252 288676    0    0     0    56 1066  427  0 66 34  0  0  0
 4  0      0 440312  16252 288676    0    0     0     0 1194  343  0 79 21  0  0  0
 0  0      0 442000  16252 288680    0    0     0     0 1255  508  0 83 17  0  0  0
 4  0      0 440200  16252 288680    0    0     0     0 1112  377  1 71 28  0  0  0
 0  0      0 442000  16252 288680    0    0     0     4  735  243  0 42 58  0  0  0
 3  0      0 440724  16260 288672    0    0     0    40 1418  575  0 96  4  0  0  0
 2  0      0 440480  16260 288684    0    0     0     0 1231  420  0 79 21  0  0  0
 2  0      0 440644  16260 288684    0    0     0     0  890  266  0 55 45  0  0  0
 3  0      0 440196  16260 288684    0    0     0     0  873  280  1 49 49  0  0  0
 0  0      0 441548  16260 288688    0    0     0     0 1092  413  0 70 30  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 441768  16268 288688    0    0     0    32  845  299  1 48 51  0  0  0
 1  0      0 441724  16268 288688    0    0     0     8  876  192  0 52 48  0  0  0
 5  0      0 439848  16268 288688    0    0     0     0 1416  519  0 97  3  0  0  0
 6  0      0 438472  16268 288692    0    0     0     0 1435  604  0 100  0  0  0  0
 2  0      0 440312  16268 288692    0    0     0     0 1379  593  0 100  0  0  0  0
 1  0      0 441560  16268 288692    0    0     0     0 1075  315  0 69 31  0  0  0
 1  0      0 441032  16276 288696    0    0     0    44  750  240  0 43 57  0  0  0
 1  0      0 440816  16276 288696    0    0     0     0 1330  325  0 85 15  0  0  0
 0  0      0 441708  16276 288696    0    0     0     0  794  218  1 44 54  0  0  0
 0  0      0 441708  16276 288696    0    0     0     0 1268  499  0 85 15  0  0  0
 1  0      0 441708  16276 288700    0    0     0     0 1149  394  0 72 28  0  0  0
 2  0      0 440760  16284 288700    0    0     0    56  900  193  0 55 45  0  0  0
 0  0      0 441956  16284 288700    0    0     0     4 1167  371  0 76 24  0  0  0
 0  0      0 441696  16284 288704    0    0     0     0  914  243  1 52 47  0  0  0
 1  0      0 441020  16284 288704    0    0     0     0  754  213  0 43 57  0  0  0
 1  0      0 441688  16284 288704    0    0     0     0 1193  399  0 77 23  0  0  0
 2  0      0 441232  16292 288704    0    0     0    40 1204  322  0 78 23  0  0  0
 2  0      0 440772  16292 288708    0    0     0     0 1118  335  0 72 28  0  0  0
 5  0      0 439892  16292 288708    0    0     0     4 1285  460  1 85 13  0  0  0
 2  0      0 441312  16292 288708    0    0     0     0 1058  375  0 66 34  0  0  0
 0  0      0 441432  16292 288708    0    0     0     0  894  427  0 56 44  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 440012  16300 288712    0    0     0    52 1012  420  0 61 39  0  0  0
 0  0      0 441668  16300 288712    0    0     0    12  617  257  0 34 66  0  0  0
 5  0      0 439460  16300 288712    0    0     0     0 1314  514  0 87 13  0  0  0
 3  0      0 440220  16300 288716    0    0     0     4 1064  328  1 64 35  0  0  0
 1  0      0 441916  16300 288720    0    0     0     0  591  206  1 32 67  0  0  0
 0  0      0 441660  16308 288720    0    0     0    28 1102  266  0 68 32  0  0  0
 3  0      0 440636  16308 288720    0    0     0     8 1026  326  0 62 38  0  0  0
 2  0      0 440868  16308 288724    0    0     0     0 1396  574  1 99  0  0  0  0
 0  0      0 441648  16308 288724    0    0     0     0 1199  366  0 80 20  0  0  0
 0  0      0 441648  16308 288724    0    0     0     8  673  213  0 38 62  0  0  0
 0  0      0 441428  16316 288728    0    0     0    32  966  341  1 57 41  0  0  0
 1  0      0 441632  16316 288728    0    0     0    12 1081  231  0 67 33  0  0  0
 1  0      0 441416  16316 288728    0    0     0     0 1019  268  0 62 38  0  0  0
 1  0      0 441348  16316 288728    0    0     0     0 1209  301  0 77 23  0  0  0
 3  0      0 440072  16316 288732    0    0     0     0 1068  297  0 66 34  0  0  0
 4  0      0 441048  16316 288732    0    0     0     4 1275  525  1 83 16  0  0  0
 1  0      0 440852  16324 288736    0    0     0    56 1319  383  0 89 11  0  0  0
 1  0      0 440884  16324 288740    0    0     0     0  620  227  1 32 67  0  0  0
 0  0      0 441616  16324 288740    0    0     0     0 1195  291  0 78 22  0  0  0
 0  0      0 441872  16324 288740    0    0     0     0 1162  412  0 74 26  0  0  0
 0  0      0 441652  16324 288740    0    0     0     0  928  243  0 55 45  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 440648  16332 288744    0    0     0    44  814  265  0 47 53  0  0  0
